factor,delta_sharpe,delta_ic
Mkt_RF,-0.8505812144534681,0.11013704978749692
SMB,-0.09262082885062362,-0.07683559897624063
HML,-0.18003165339708205,-0.1458043306657812
UMD,-0.4294743190572827,0.23206819662074515
