regime,avg_excess_ret,vol_excess,avg_port_ret,n_obs,avg_nlp_cov_docs
Neutral,0.011246111674614876,0.017182969870725907,0.01124756025617516,47.0,3.5531914893617023
Risk-Off,0.005598033020140447,0.014422057856151967,0.005598475149770075,36.0,2.638888888888889
Risk-On,0.009965174671050075,0.018234872178352783,0.009966674671050073,37.0,4.081081081081081
