regime,information_ratio,tracking_error,correlation,n_obs
Neutral,-0.4314952613294858,0.03333625518896879,0.746835155030065,48
Risk-Off,-0.832741540706136,0.025266115484354586,0.660262887629105,36
Risk-On,0.7586419803804806,0.04307184371465031,0.7769682552162516,36
