ridge_alpha,temperature,sharpe,ann_ret,ann_vol,max_dd,is_best
0.5,0.3,1.8632780988556183,0.11291600427957893,0.05857711809975118,-0.04916793766943761,False
0.5,0.5,1.8632780988556183,0.11291600427957893,0.05857711809975118,-0.04916793766943761,False
0.5,1.0,1.8632780988556183,0.11291600427957893,0.05857711809975118,-0.04916793766943761,False
1.0,0.3,1.8685527072256702,0.11325346087109178,0.058575356638752976,-0.04916983615106996,False
1.0,0.5,1.8685527072256702,0.11325346087109178,0.058575356638752976,-0.04916983615106996,False
1.0,1.0,1.8685527072256702,0.11325346087109178,0.058575356638752976,-0.04916983615106996,False
3.0,0.3,1.874733751648227,0.1137248003293092,0.05861107531419524,-0.04917108733833986,False
3.0,0.5,1.874733751648227,0.1137248003293092,0.05861107531419524,-0.04917108733833986,False
3.0,1.0,1.874733751648227,0.1137248003293092,0.05861107531419524,-0.04917108733833986,False
5.0,0.3,1.8782952014038699,0.11398962790222411,0.058628167432821364,-0.04917096529907217,True
5.0,0.5,1.8782952014038699,0.11398962790222411,0.058628167432821364,-0.04917096529907217,False
5.0,1.0,1.8782952014038699,0.11398962790222411,0.058628167432821364,-0.04917096529907217,False
