year,FEDFUNDS,GDP,UNRATE
1996,5.298333333333333,8073.12175,5.408333333333334
1997,5.46,8577.5525,4.941666666666666
1998,5.353333333333333,9062.81675,4.5
1999,4.97,9631.17175,4.216666666666667
2000,6.235833333333333,10250.952000000001,3.966666666666667
2001,3.8874999999999997,10581.929,4.741666666666666
2002,1.6666666666666667,10929.108250000001,5.783333333333334
2003,1.1275,11456.4495,5.991666666666667
2004,1.3491666666666668,12217.19575,5.541666666666667
2005,3.2133333333333334,13039.197,5.083333333333333
2006,4.964166666666666,13815.583,4.608333333333333
2007,5.019166666666666,14474.227,4.616666666666666
2008,1.9275,14769.86175,5.8
2009,0.16,14478.06725,9.283333333333333
2010,0.17500000000000002,15048.971,9.608333333333334
2011,0.10166666666666667,15599.7315,8.933333333333334
2012,0.14,16253.970000000001,8.075
2013,0.1075,16880.683250000002,7.358333333333333
2014,0.08916666666666667,17608.13825,6.158333333333334
2015,0.1325,18295.019,5.2749999999999995
2016,0.395,18804.91325,4.875
2017,1.0016666666666667,19612.1025,4.358333333333333
2018,1.8316666666666668,20656.5155,3.891666666666666
2019,2.158333333333333,21539.981499999998,3.6750000000000003
2020,0.3758333333333333,21375.2815,8.1
2021,0.08,23725.6455,5.358333333333333
2022,1.6833333333333333,26054.61425,3.641666666666667
2023,5.024166666666667,27811.517,3.6333333333333333
