Dataset,Cutoff,Time,Sol.Quality,Full Tour,RelError_BF
Roanoke.tsp,10.0,11.1888,6861679.0,No,0.40669054906240876
Roanoke.tsp,15.0,16.2429,6861679.0,No,0.40669054906240876
Roanoke.tsp,20.0,21.1865,6861679.0,No,0.40669054906240876
Roanoke.tsp,25.0,26.2609,6861679.0,No,0.40669054906240876
Roanoke.tsp,50.0,51.2624,6861290.0,No,0.4067136063335029
Roanoke.tsp,75.0,76.2149,6857992.0,No,0.40690919441142537
Roanoke.tsp,100.0,101.1473,6857992.0,No,0.40690919441142537
Roanoke.tsp,250.0,251.2244,6849948.0,No,0.4073870341789456
Roanoke.tsp,500.0,501.2613,6849948.0,No,0.4073870341789456
SanFrancisco.tsp,5.0,6.1926,5712903.0,No,0.28016649328721316
SanFrancisco.tsp,10.0,11.2172,5697031.0,No,0.28094704066030185
SanFrancisco.tsp,15.0,16.3426,5697031.0,No,0.28094704066030185
SanFrancisco.tsp,20.0,21.223,5683031.0,No,0.2816391464343587
SanFrancisco.tsp,25.0,26.2476,5683031.0,No,0.2816391464343587
SanFrancisco.tsp,50.0,51.2793,5604793.0,No,0.2855705821785033
SanFrancisco.tsp,75.0,76.1783,5604793.0,No,0.2855705821785033
SanFrancisco.tsp,100.0,101.1797,5604793.0,No,0.2855705821785033
SanFrancisco.tsp,250.0,251.2991,5600573.0,No,0.2857857579929768
SanFrancisco.tsp,500.0,501.161,5600573.0,No,0.2857857579929768
Toronto.tsp,5.0,6.2407,9223694.0,No,0.2748536540782901
Toronto.tsp,10.0,11.1886,9223694.0,No,0.2748536540782901
Toronto.tsp,15.0,16.1671,9219828.0,No,0.2749689039752152
Toronto.tsp,20.0,21.1808,9219492.0,No,0.27497892508611105
Toronto.tsp,25.0,26.1429,9219353.0,No,0.2749830709378413
Toronto.tsp,50.0,51.1661,9219353.0,No,0.2749830709378413
Toronto.tsp,75.0,76.1886,9219353.0,No,0.2749830709378413
Toronto.tsp,100.0,101.2015,9219353.0,No,0.2749830709378413
Toronto.tsp,250.0,251.2159,9192020.0,No,0.275800748910468
Toronto.tsp,500.0,501.2846,9179267.0,No,0.27618392623288984
UKansasState.tsp,5.0,6.1958,62962.0,No,1.0
UKansasState.tsp,10.0,11.2369,62962.0,No,1.0
UKansasState.tsp,15.0,16.1716,62962.0,No,1.0
UKansasState.tsp,20.0,21.1947,62962.0,No,1.0
UKansasState.tsp,25.0,26.1996,62962.0,No,1.0
UKansasState.tsp,50.0,35.0758,62962.0,No,1.0
UKansasState.tsp,75.0,36.816,62962.0,No,1.0
UKansasState.tsp,100.0,35.8189,62962.0,No,1.0
UKansasState.tsp,250.0,34.5147,62962.0,No,1.0
UKansasState.tsp,500.0,36.2668,62962.0,No,1.0
UMissouri.tsp,5.0,6.1662,670811.0,No,0.35326791003725344
UMissouri.tsp,10.0,11.2469,670811.0,No,0.35326791003725344
UMissouri.tsp,15.0,16.1736,670811.0,No,0.35326791003725344
UMissouri.tsp,20.0,21.2067,670811.0,No,0.35326791003725344
UMissouri.tsp,25.0,26.2025,670811.0,No,0.35326791003725344
UMissouri.tsp,50.0,51.2909,668983.0,No,0.3542332166886154
UMissouri.tsp,75.0,76.3278,668983.0,No,0.3542332166886154
UMissouri.tsp,100.0,101.2235,668983.0,No,0.3542332166886154
UMissouri.tsp,250.0,251.206,662953.0,No,0.3574552042150801
UMissouri.tsp,500.0,501.2072,662935.0,No,0.35746490983278906
