Dataset,Seed,Time,Sol.Quality,Full Tour,RelError_Approx
Philadelphia.tsp,48.0,1.2082,1715300.0,Yes,0.8397248294758934
Philadelphia.tsp,49.0,1.441,1693572.0,Yes,0.8321275977637798
Philadelphia.tsp,50.0,1.2284,1685283.0,Yes,0.9209165463604629
Philadelphia.tsp,51.0,1.2451,1695100.0,Yes,0.8523756710518553
Roanoke.tsp,42.0,1.3229,802562.0,Yes,4.470587942115375
Roanoke.tsp,43.0,1.2979,802080.0,Yes,3.735277029722721
Roanoke.tsp,44.0,1.2703,794281.0,Yes,4.235099416956971
Roanoke.tsp,45.0,1.2865,801675.0,Yes,3.480936788598871
Roanoke.tsp,46.0,1.3365,803892.0,Yes,4.0843707861255
Roanoke.tsp,47.0,1.3489,806892.0,Yes,4.002873990571229
Roanoke.tsp,48.0,1.4005,795380.0,Yes,4.106139203902537
Roanoke.tsp,49.0,1.3983,795431.0,Yes,4.081350865128465
Roanoke.tsp,50.0,1.2412,795468.0,Yes,3.8539438418641603
Roanoke.tsp,51.0,1.5159,795524.0,Yes,3.928259863938737
SanFrancisco.tsp,42.0,1.221,1078204.0,Yes,1.5054488760939488
SanFrancisco.tsp,43.0,1.2468,1045326.0,Yes,1.621321960804572
SanFrancisco.tsp,44.0,1.2253,1076544.0,Yes,1.5694769558884727
SanFrancisco.tsp,45.0,1.1423,1069058.0,Yes,1.5568313412368646
SanFrancisco.tsp,46.0,1.4553,1078212.0,Yes,1.536236843960186
SanFrancisco.tsp,47.0,1.2883,1068233.0,Yes,1.526318696389271
SanFrancisco.tsp,48.0,1.239,1068021.0,Yes,1.5861710584342443
SanFrancisco.tsp,49.0,1.2275,1090167.0,Yes,1.6347715533491658
SanFrancisco.tsp,50.0,1.1216,1045326.0,Yes,1.531162527288138
SanFrancisco.tsp,51.0,1.1429,1093751.0,Yes,1.5730563903484431
Toronto.tsp,42.0,1.4141,1652074.0,Yes,1.7204017495584338
Toronto.tsp,43.0,1.5824,1651938.0,Yes,1.9897054247798647
Toronto.tsp,44.0,1.6193,1651069.0,Yes,1.6945142813534746
Toronto.tsp,45.0,1.5124,1650915.0,Yes,1.717966097588307
Toronto.tsp,46.0,1.4634,1607855.0,Yes,1.7449782474165891
Toronto.tsp,47.0,1.4225,1623952.0,Yes,1.8630624550479324
Toronto.tsp,48.0,1.5781,1676544.0,Yes,1.6768775528706672
Toronto.tsp,49.0,1.531,1597242.0,Yes,1.5872147113587045
Toronto.tsp,50.0,1.2923,1628988.0,Yes,1.9349473415396552
Toronto.tsp,51.0,1.1856,1662499.0,Yes,1.5692719213665693
UKansasState.tsp,42.0,1.1284,70143.0,Yes,0.8976234264288667
