industry,N,mean,std,skew,kurtosis,min,p1,p5,p25,p50,p75,p95,p99,max
"Agriculture, Forestry & Fishing",238.0,0.846962141828607,1.0311666214829063,-0.27624323912828197,5.298337524936386,-4.604390994331435,-1.796658178615497,-0.4430348475522301,0.2883860945857858,0.8008269362762852,1.282986386293747,2.5708473348347733,3.882034573473074,4.523885090908237
Construction,266.0,1.4062145368007326,1.2675977519260386,2.237098320323818,20.81171663602895,-3.008523813273548,-2.068762910664536,-0.17646557264066332,0.789212412364339,1.310155339902599,1.9834827558564143,3.0799398838102174,4.251808655991849,12.286365871477832
"Finance, Insurance & Real Estate",271.0,0.8535893867427915,0.8024528551346142,1.2419783810302403,5.511010926888044,-0.9306331194103591,-0.7949481425260561,-0.2284064053888839,0.3149995505946538,0.7895980673247818,1.2731691017535813,2.075289361860058,2.9173573105053325,5.863792886048499
Manufacturing,259.0,1.3632983110922088,1.2846077414209873,-0.5625615140708637,18.497923181590096,-8.629837464146176,-0.4595563357908465,-0.05498114730443979,0.6876568330791866,1.2558777477741923,1.8663140089078367,3.175783785959437,4.791336422786243,9.140591357814724
Mining,261.0,1.485638624235111,1.3675306777927438,0.8519546727235117,3.236000326366563,-3.2654965296231104,-1.2472138216069815,-0.2881442894689672,0.6297225428757525,1.323553001402724,2.1904473224239833,3.9230372175704122,5.626103090186331,8.364188513795106
Public Administration,160.0,1.1721971097023929,1.4631682681503992,0.23066986736156453,6.964869725960305,-6.249017684765813,-1.6889490887314738,-0.5021681966414809,0.3424055183533388,1.0711632475809154,1.9237571807239155,3.2052644585829864,5.4999125346021405,8.24645767587021
Retail Trade,265.0,1.1474851208120054,0.9209119606513002,0.558958723198312,1.8007652980806155,-2.4477971652532426,-0.7109001905808082,-0.07519139474143163,0.5689361536736891,1.0709168306277945,1.6240636921156295,2.77493151322016,3.8540363896272463,4.489201467050014
Services,256.0,1.2907937714543491,1.1543020854176953,1.0193182242025958,3.051082807025911,-2.3232342597289244,-1.1975458919521198,-0.29754977927889603,0.5834740960700554,1.1028481372253836,1.8311450858567322,3.0979767850877105,5.4074651750789275,6.0030624451929775
Transportation & Utilities,264.0,0.9722584145056536,0.905837949649164,1.4801018603769738,4.466987048236605,-0.9897763919198043,-0.7229237023621671,-0.025965854885038265,0.34295169655372254,0.8317937820247154,1.30566618062153,2.7307684420468235,3.6037071002396064,6.195471494272518
Unknown,60.0,0.86167791742939,1.3393211853185953,-0.09809841593002122,3.459088582067862,-4.231598737430507,-2.534414268034689,-0.5802554411024863,0.15787722229171397,0.5806782140639315,1.4802118507747495,3.510644527005411,4.177092336385343,4.266661694642515
Wholesale Trade,265.0,1.3413186013193859,1.1346693967181813,2.5000877564424058,12.024847508533467,-1.3176987358907777,-0.6391964767488988,0.1209900215691924,0.6953636694576971,1.1511491311337285,1.681873997149559,2.9430168651783397,5.585386115264834,8.65105896313634
