industry,N,mean,std,skew,kurtosis,min,p1,p5,p25,p50,p75,p95,p99,max
"Agriculture, Forestry & Fishing",241.0,0.8663724294077605,1.258752437813441,-0.5628622636937953,5.00165942299418,-6.456657512686746,-2.178262018185477,-0.8428574172630833,0.18197252191329394,0.8891179982472373,1.4699480155131113,2.9158253545746375,4.0967048820376055,4.891251274162
Construction,270.0,1.3250881551998859,1.4910178256783941,-0.5201985664025497,4.003117907966077,-6.3294098335336075,-3.07653617875344,-1.019803080014521,0.6379101398680402,1.2807204005830384,2.1067028931191722,3.5759667194830365,5.048080663738989,6.625207941365505
"Finance, Insurance & Real Estate",275.0,0.8457121652613432,1.018155464888443,0.4865641256606235,1.216350686941781,-2.38083923399136,-1.5095021457599784,-0.5706730617919972,0.1374095807380065,0.7763874770963823,1.407443061409785,2.802364884833503,3.9281870365968166,4.3846117263025
Manufacturing,265.0,1.4118060817146025,1.95182937750701,2.697255992326478,18.783146069580102,-5.797285769528649,-2.3947955466404265,-0.5101911294892347,0.49978706274207285,1.088570332576476,1.983356164093494,4.414790380299363,8.707617735998042,17.098722466045313
Mining,269.0,1.4042653846349902,1.8964209387387638,0.3722445235738697,4.630349074519301,-7.893081933803334,-3.5543471171754764,-0.9625543079348488,0.41735239612979913,1.2829156260364853,2.2083252795237254,4.491148764354192,8.17412570607997,9.087339849055159
Public Administration,175.0,0.8998897618005484,1.8651777626947816,1.4806399755181736,11.002790697791998,-5.14634524621386,-3.850195870195984,-1.6459239710368447,0.013412252564739224,0.7580419092381752,1.73246784157558,3.473423007563034,5.441953780480123,13.212741878427714
Retail Trade,268.0,1.1663482809270607,1.56266290879098,1.2466768355987978,6.760110901912073,-5.310844947137571,-2.577772901428338,-0.5884337361865727,0.39112746270472776,0.9487877215295416,1.7566737278021156,3.47436251004238,6.85653132799931,9.68985373652713
Services,258.0,1.3383770101263575,1.7412470632428878,1.730053147874145,10.758843846746087,-4.530301706840431,-2.4642214538005223,-0.7481880751795009,0.4146775943423292,1.1351703779206082,2.0821508271386886,4.432285191499501,5.583148717130563,13.76720969883147
Transportation & Utilities,267.0,1.0535061481262926,1.7826364823898437,4.718746854776951,38.89169295922961,-4.323186165280501,-2.0661500683990304,-0.5063046900521191,0.2971140905175613,0.8266189041482408,1.5375635965344667,3.157807697807027,6.164398806966832,17.33905514299805
Unknown,64.0,0.5605986290170566,1.5613569058932255,-0.042584227592168754,1.922525857091884,-3.8379967963908115,-3.600947073810745,-2.444666020329465,-0.01640437734852179,0.5330847036320767,1.1982763312850444,3.509944337773499,4.686301936623926,4.699339080771943
Wholesale Trade,270.0,1.3298751779204205,1.44496110301817,2.170912564053453,12.660538318574607,-3.3130552132737536,-1.492206433331334,-0.41640601966159246,0.5976833815382029,1.1287957097334007,1.7906755824170042,3.5934523491625745,5.87263087753516,12.133187505225248
