month_end,n_obs,r2,median_mispricing,mad_mispricing,coef_dispersion
1987-07-31,324,-1781.1725123359706,-0.9610535671589454,0.08740737347679661,6547578606.285145
1987-08-31,373,-842.9936621199208,-0.9325122895958707,0.08896210831499984,4646556618.590447
1987-09-30,387,-316.9447350887817,-0.9183262011293073,0.12061401547343464,3096517005.0617666
1987-10-30,309,-461.1705135522283,-0.9517974117501579,0.06565888813707532,7878192571.556306
1987-11-30,277,-1859.6284077046525,-0.9545381595042554,0.07137935518857985,6541341601.460972
1987-12-31,291,-1032.5583975497375,-0.9571489233972601,0.07031855488643379,4298868326.209295
1988-01-29,308,-1158.8120041530444,-0.958048391823094,0.06572438251653778,2483846846.61606
1988-02-29,314,-981.4432769673807,-0.9558814581181755,0.07068816533803596,8036343840.06959
1988-03-31,337,-630.4889203575215,-0.9162647139632942,0.08786286991673031,2798167367.8366427
1988-04-29,336,-1523.279863748483,-0.9431942103593565,0.07453269526943063,11460979025.186031
1988-05-31,329,-1293.5202315785446,-0.9380435330547415,0.07585788318330866,7872649741.310489
1988-06-30,343,-997.3699359459091,-0.9338378015495143,0.09414363151896943,9126935019.329088
1988-07-29,358,-3939.3719235456965,-0.9357625963458052,0.08752056733637448,6396501845.353553
1988-08-31,347,-3525.3580633450724,-0.9206158667137999,0.10510659398256361,3400722464.9174876
1988-09-30,353,-2661.050219641796,-0.9143225938955698,0.09193435367664304,2381811500.6716757
1988-10-31,353,-6066.85084092405,-0.9083488311594711,0.09266228851306646,11985701447.426512
1988-11-30,342,-3332.6680993403397,-0.9155052093869234,0.09114910462728065,9297884900.513647
1988-12-30,352,-797.0149166266532,-0.8955273897227778,0.12031172853679845,713649914.8584725
1989-01-31,351,-1535.91458137347,-0.9047096438710511,0.10586760613061297,2429615691.1815505
1989-02-28,352,-2006.4558746910634,-0.9039357609412991,0.10559915303056677,3875382643.961031
1989-03-31,360,-698.7835235931731,-0.8846369872842837,0.11895951977500568,898419706.3631744
1989-04-28,361,-707.6171112136487,-0.8950360549371666,0.10921997497675984,1062281459.9383495
1989-05-31,363,-1154.9305971048177,-0.9000408041955903,0.10457539474746524,1654398619.6191974
1989-06-30,357,-823.4238617169672,-0.896777301499361,0.10385495992903948,1761055625.0867558
1989-07-31,367,-11855.246706835524,-0.934805648705844,0.08032587472667585,5311151366.87908
1989-08-31,359,-9537.296485946754,-0.9247927010053827,0.08158577999418948,4210048524.669116
1989-09-29,362,-10999.800204308958,-0.9303043594126246,0.0766039914071518,3401757636.732573
