Variable,Spec_1,Spec_2,Spec_3,Spec_4,Spec_5,Spec_6,Spec_7,Spec_8,Spec_9
Variable,Spec 1,Spec 2,Spec 3,Spec 4,Spec 5,Spec 6,Spec 7,Spec 8,Spec 9
Mispricing Signal (ols) (Q5) - Coefficient,,,,,-0.0010628865744871255,,,,
Mispricing Signal (ols) (Q5) - t-statistic,,,,,-0.09687290063415745,,,,
Mispricing Signal (ols) (Q5) - p-value,,,,,0.9228275207670027,,,,
Mispricing Signal (ols) (Q5) - Significance,,,,,NS,,,,
Beta (Q5) - Coefficient,,,,,-0.03185221568382279,-0.031021739071471363,-0.03256508940966334,-0.03265786215586299,-0.032920873129444
Beta (Q5) - t-statistic,,,,,-2.7173354739027715,-1.7898629515759785,-2.2671242646236522,-2.3097594466959896,-2.178301207208111
Beta (Q5) - p-value,,,,,0.0065821011284263875,0.07347892241470699,0.023384727069551525,0.02090346968582346,0.029385909964802837
Beta (Q5) - Significance,,,,,***,*,**,**,**
Market capitalization (Q5) - Coefficient,,,,,0.015019773440110677,0.02120565700800658,-0.00014305517522690547,0.005921967412574389,0.009592057060078053
Market capitalization (Q5) - t-statistic,,,,,1.4313117172613972,2.3346375379844195,-0.00964582069990986,0.43857602953411906,0.5774820682210045
Market capitalization (Q5) - p-value,,,,,0.1523439725224045,0.019564300935007495,0.9923038868659475,0.6609697012387303,0.5636151280858237
Market capitalization (Q5) - Significance,,,,,NS,**,NS,NS,NS
Book/market (Q5) - Coefficient,,,,,0.001364024076771912,-0.0012076706604517613,0.003245133545013174,0.001622382226901386,0.0010753676755231435
Book/market (Q5) - t-statistic,,,,,0.11246162727517288,-0.09640542559450066,0.24839763333129525,0.12487093104288549,0.08180606816201046
Book/market (Q5) - p-value,,,,,0.9104576158121818,0.923198773304359,0.8038272664815977,0.9006259788777415,0.9348010916680554
Book/market (Q5) - Significance,,,,,NS,NS,NS,NS,NS
Short-term reversal (Q5) - Coefficient,,,,,0.010066032626944835,0.009219323310025448,0.008248806432114822,0.01007403717567151,0.009901690902145604
Short-term reversal (Q5) - t-statistic,,,,,1.7844876653113513,1.1762277588381536,1.29830489448764,1.4803369353331346,1.5408172702897753
Short-term reversal (Q5) - p-value,,,,,0.07434743973550506,0.23950663012092832,0.19418553160271812,0.13878645111720567,0.12336437868957151
Short-term reversal (Q5) - Significance,,,,,*,NS,NS,NS,NS
Momentum (Q5) - Coefficient,,,,,0.006261771336059919,0.005284433752902585,0.005031165883044388,0.005309506121216531,0.005072602764674508
Momentum (Q5) - t-statistic,,,,,1.1862922411832633,0.8985257648648198,0.8458628586310833,0.8530700527579466,0.838482715442198
Momentum (Q5) - p-value,,,,,0.235509683146939,0.3689074444768714,0.3976312459200191,0.3936224681593923,0.4017616234496906
Momentum (Q5) - Significance,,,,,NS,NS,NS,NS,NS
Long-term reversal (Q5) - Coefficient,,,,,0.006530966091900138,0.00621395899531109,0.005983560676613486,0.006771180277738236,0.0058572622775808734
Long-term reversal (Q5) - t-statistic,,,,,1.603398395540496,1.0539858230202748,1.2764264473735236,1.4037798717480163,1.1255940487867253
Long-term reversal (Q5) - p-value,,,,,0.10884983287808381,0.2918919138371303,0.2018077291204201,0.16038746540652404,0.2603400465846142
Long-term reversal (Q5) - Significance,,,,,NS,NS,NS,NS,NS
Accruals (Q5) - Coefficient,,,,,-0.0087869968615902,-0.008120349770627228,-0.008451119733972688,-0.008394996490090496,-0.008950726104844778
Accruals (Q5) - t-statistic,,,,,-2.981772930813669,-2.1240273379510906,-2.8613874707565845,-2.755828336544892,-3.188174577619964
Accruals (Q5) - p-value,,,,,0.0028665238997569453,0.033670265761714724,0.004218772671931603,0.0058554142653102215,0.0014321743099554585
Accruals (Q5) - Significance,,,,,***,**,***,***,***
SUE (Q5) - Coefficient,,,,,-0.003157417440101681,-0.002370627070086428,-0.002397688645256479,-0.0023982423063068034,-0.00281302812063548
SUE (Q5) - t-statistic,,,,,-0.7895327588289415,-0.4498501110741467,-0.5933516040313624,-0.6144191636767108,-0.7005997024697662
SUE (Q5) - p-value,,,,,0.4298025332073019,0.652819481755063,0.5529471906528385,0.5389397509990839,0.48355446820230696
SUE (Q5) - Significance,,,,,NS,NS,NS,NS,NS
Gross profitability (Q5) - Coefficient,,,,,-0.007791948908555666,-0.005977008255667285,-0.007667239942436595,-0.006937697099868143,-0.007320704443731911
Gross profitability (Q5) - t-statistic,,,,,-1.1256892075078564,-0.9791334022845798,-1.0793979771927094,-0.9337482450026605,-1.1457081846339279
Gross profitability (Q5) - p-value,,,,,0.26029975205930445,0.32751640031656226,0.28041291419483594,0.3504359907810488,0.25191861419177464
Gross profitability (Q5) - Significance,,,,,NS,NS,NS,NS,NS
Earnings yield (Q5) - Coefficient,,,,,-0.010291120769921896,-0.010920806504517292,-0.011625890529969188,-0.010551472004402249,-0.010967099177782833
Earnings yield (Q5) - t-statistic,,,,,-0.8261702371343643,-0.8607342489378718,-0.8479955706115102,-0.8199570718005742,-0.9207863755962132
Earnings yield (Q5) - p-value,,,,,0.4087094687435937,0.3893864562452394,0.39644243483090014,0.41224250297100196,0.3571641553770579
Earnings yield (Q5) - Significance,,,,,NS,NS,NS,NS,NS
Mispricing Signal (ts) (Q5) - Coefficient,,,,,,-0.005773490072800193,,,
Mispricing Signal (ts) (Q5) - t-statistic,,,,,,-0.9354356336766242,,,
Mispricing Signal (ts) (Q5) - p-value,,,,,,0.34956606303776727,,,
Mispricing Signal (ts) (Q5) - Significance,,,,,,NS,,,
