month_end,1,2,3,4,5,q5_q1,q1_minus_q5
1987-07-31,0.04676665625,0.03451898437500001,0.02697260317460318,0.011819781250000012,0.022715703124999986,-0.02405095312500001,0.02405095312500001
1987-08-31,-0.006009689189189184,-0.015014878378378367,-0.01819363013698629,-0.035700391891891885,0.0035105810810810807,0.009520270270270265,-0.009520270270270265
1987-09-30,-0.17937861643835615,-0.13075330555555553,-0.12681056944444444,-0.24928956944444444,-0.25830065277777775,-0.0789220363394216,0.0789220363394216
1987-10-30,-0.01165111475409835,0.0025151803278688615,0.04164231666666666,-0.04307770491803276,-0.047896672131147525,-0.036245557377049174,0.036245557377049174
1987-11-30,0.11959374545454544,0.07645741818181818,0.13050501818181817,0.1542071636363636,0.13600234545454543,0.01640859999999998,-0.01640859999999998
1987-12-31,0.05637479310344826,0.054338913793103454,0.044965206896551736,0.02919375862068966,0.03885256896551724,-0.017522224137931024,0.017522224137931024
1988-01-29,0.09636329032258063,0.08619991803278688,0.11610309836065574,0.13447847540983604,0.07704214388526229,-0.019321146437318346,0.019321146437318346
1988-02-29,0.04333782258064514,0.09376622580645161,0.05512406516129032,0.0811836129032258,0.00540909677419357,-0.03792872580645157,0.03792872580645157
1988-03-31,0.016272696969696958,0.007718090909090912,0.05268381538461538,0.026243712121212112,0.004650818181818189,-0.011621878787878768,0.011621878787878768
1988-04-29,0.003372014925373137,0.019677484848484875,0.05008019696969698,-0.00777348484848485,-0.02501577272727272,-0.02838778765264586,0.02838778765264586
1988-05-31,0.09446478787878784,0.0667633846153846,0.06820203076923075,0.07301438461538459,0.07940884848484844,-0.0150559393939394,0.0150559393939394
1988-06-30,-0.008162544117647046,0.0007355671641791164,0.0007860294117647116,-0.02096298507462686,-0.00995819117647059,-0.0017956470588235442,0.0017956470588235442
1988-07-29,-0.011676314285714267,0.029135971428571432,0.012392376811594212,-0.02307487142857141,-0.033708599999999984,-0.02203228571428572,0.02203228571428572
1988-08-31,0.03642897101449275,0.07706272058823528,0.03504639130434782,0.021656823529411767,0.04080782608695652,0.004378855072463765,-0.004378855072463765
1988-09-30,0.0044471571428571395,0.024618557142857145,0.014434072463768112,-0.01773542857142857,0.011440457142857139,0.006993299999999999,-0.006993299999999999
1988-10-31,-0.03938118571428569,-0.004974304347826066,-0.01594202898550723,0.006337985507246378,-0.017596371428571414,0.021784814285714278,-0.021784814285714278
1988-11-30,0.0470821343283582,0.07842656716417909,0.05557976119402984,0.0690058805970149,0.03905823880597014,-0.00802389552238806,0.00802389552238806
1988-12-30,0.04522622857142856,0.08853602898550723,0.07644865217391304,0.07368739130434783,0.06584198571428569,0.020615757142857134,-0.020615757142857134
1989-01-31,-8.77428571428645e-05,0.015053971428571424,-0.010976652173913044,0.0015377285714285776,0.005503485714285739,0.005591228571428603,-0.005591228571428603
1989-02-28,0.021073057142857145,0.03570564285714284,0.07529955714285713,0.005308028571428583,0.01802775714285713,-0.0030453000000000147,0.0030453000000000147
1989-03-31,0.05539544444444444,0.08525279166666665,0.07465702777777777,0.0630873472222222,0.058532004276916655,0.0031365598324722133,-0.0031365598324722133
1989-04-28,0.04260226388888886,0.05143749999999999,0.03910392957746479,0.05979791666666666,0.03774622222222221,-0.004856041666666651,0.004856041666666651
1989-05-31,-0.01305265277777777,-0.0002108450704225215,0.010717847222222222,-0.04810194366197182,-0.004547958333333325,0.008504694444444447,-0.008504694444444447
1989-06-30,0.07794140845070421,0.06471972857142855,0.04968881690140843,0.04665644285714285,0.06927094366197178,-0.00867046478873243,0.00867046478873243
1989-07-31,0.0402998219178082,0.055833944444444436,0.01683427777777778,0.0385765972222222,0.031560277777777784,-0.008739544140030413,0.008739544140030413
1989-08-31,-0.00831694444444442,0.03390569444444444,0.038884971830985916,-0.008159986111111092,-0.0035233333333333306,0.00479361111111109,-0.00479361111111109
1989-09-29,-0.049316527777777765,-0.02909001408450703,-0.0013143661971830917,-0.04242164788732393,-0.03255042253521126,0.016766105242566505,-0.016766105242566505
1989-10-31,0.011123014084507046,0.01053381428571427,0.021150422535211273,0.09891262857142856,0.007392999999999983,-0.003730014084507063,0.003730014084507063
1989-11-30,-0.005371828571428572,0.026326101449275368,0.015334342857142866,0.010786666666666665,0.010755771428571417,0.01612759999999999,-0.01612759999999999
1989-12-29,-0.04032378571428571,-0.05763814492753622,-0.05962728571428568,-0.09237520289855068,-0.06924191428571425,-0.028918128571428538,0.028918128571428538
1990-01-31,0.04711646376811593,0.05751399999999999,0.007142608695652162,0.03347782352941176,0.01500437681159419,-0.03211208695652174,0.03211208695652174
1990-02-28,0.03924020895522388,0.03683265151515151,0.04597858208955224,0.0637062424242424,0.0383093134328358,-0.0009308955223880783,0.0009308955223880783
1990-03-30,-0.015322029411764693,0.0058074776119403015,0.0033200447761194056,-0.023969522388059685,-0.04255155882352939,-0.027229529411764694,0.027229529411764694
1990-04-30,0.0635864769230769,0.1304942923076923,0.07970124999999997,0.1051567692307692,0.09729373846153842,0.03370726153846153,-0.03370726153846153
1990-05-31,0.027384000000000002,0.06909645830614926,0.04186298507462687,-0.019162701492537303,-0.008793701492537312,-0.036177701492537316,0.036177701492537316
1990-06-29,-0.020003558823529402,0.01871980597014927,0.023291558823529422,-0.02315352238805969,-0.01995392647058823,4.963235294117366e-05,-4.963235294117366e-05
1990-07-31,-0.09267940579710142,-0.11532125847352936,-0.06485724999999998,-0.13025423529411762,-0.09414594202898546,-0.0014665362318840441,0.0014665362318840441
