portfolio,alpha_monthly_pct,t_stat_alpha
NoDur,929.2608,19.397
Durbl,583.5648,15.455
Manuf,776.5649,22.945
Enrgy,1096.0305,20.258
HiTec,1207.754,15.275
Telcm,1617.0787,19.119
Shops,944.15,16.535
Hlth,585.5292,25.982
Utils,1116.9883,17.893
Other,899.4666,26.328
