portfolio,alpha_monthly_pct,t_stat_alpha
NoDur,906.376,19.411
Durbl,579.7861,15.765
Manuf,764.2137,23.173
Enrgy,1071.1947,20.313
HiTec,1190.0932,15.45
Telcm,1583.2354,19.209
Shops,926.7631,16.658
Hlth,574.6662,26.162
Utils,1089.2737,17.904
Other,887.1163,26.648
