step,x,y,h
44,2.9688649243848825e-05,-3.856847070863937e-08,-1.2145864592525946
45,3.0075475164483602e-05,-3.162961930002936e-08,-1.2428071596619878
46,3.045006436516124e-05,-2.5590883880903657e-08,-1.2710272661791877
47,3.080890023826392e-05,-2.1630485473199907e-08,-1.2992467946524933
48,3.1149626884433255e-05,-2.024686305011945e-08,-1.3274657597300583
49,3.147176617719116e-05,-2.1228624460394565e-08,-1.3556841749985404
50,3.17769859019537e-05,-2.381821306058672e-08,-1.3839020530544301
51,3.206884729822748e-05,-2.7003814667251986e-08,-1.4121194055216562
52,3.235208655490951e-05,-2.9843495455753205e-08,-1.4403362430693827
53,3.2631599333141526e-05,-3.172424173265359e-08,-1.4685525754697304
54,3.2911371744003084e-05,-3.248536402861378e-08,-1.4967684116853734
55,3.319361662110074e-05,-3.2381573761219025e-08,-1.5249837599435285
56,3.347832610280853e-05,-3.1911786169312773e-08,-1.5531986277672492
57,3.363017334955075e-05,-3.1580010747302605e-08,-1.5814130083087028
58,3.3649788960232976e-05,-3.167537913487464e-08,-1.6096273375750794
59,3.366722254440926e-05,-3.214246865536318e-08,-1.6378419428521944
60,3.365742620999364e-05,-3.2593044259757616e-08,-1.6660567646470072
61,3.364041219627517e-05,-1.5226571786915157e-07,-1.6943098974383977
62,3.362971714897999e-05,-6.830606908294134e-07,-1.7226241732012104
63,3.360514559484762e-05,-1.4751618903359846e-06,-1.7509421947950945
64,3.3570425177554424e-05,-2.3926746303637147e-06,-1.7792532290761445
65,3.3532888940691555e-05,-3.3536929662852907e-06,-1.8075550368947069
66,3.350100272308257e-05,-4.350407008457465e-06,-1.8358479470196623
67,3.348158226858437e-05,-5.443927622816707e-06,-1.8641329760243912
68,3.347762324696209e-05,-6.73642083395811e-06,-1.8924112128886688
69,3.3487461481377736e-05,-8.314733871860088e-06,-1.9206836311169142
70,3.3506860478381745e-05,-9.865821209406096e-06,-1.9489510507739773
71,3.3532055294319115e-05,-1.1301621476204116e-05,-1.9772141412491195
72,3.355813063184473e-05,-1.2635893518448365e-05,-2.005473452027598
73,3.357990149547359e-05,-1.3879015168129345e-05,-2.033729433319359
74,3.359317846532551e-05,-1.5039134373863039e-05,-2.0619824564780296
75,3.359575810141306e-05,-1.6123272467251426e-05,-2.090232830347575
76,3.358791007179688e-05,-1.7138219693929028e-05,-2.1184808140213915
77,3.357228858827612e-05,-1.8074438000932937e-05,-2.146726626855747
78,3.355351658847069e-05,-1.8876835882478882e-05,-2.1749704562111303
79,3.3537120504150665e-05,-1.9524550660862362e-05,-2.203212463503524
80,3.352787585642253e-05,-2.003888772631413e-05,-2.2314527891049174
81,3.352844901398861e-05,-2.046834449753901e-05,-2.25969155580708
82,3.353873913645448e-05,-2.0866849332412834e-05,-2.2879288714853043
83,3.3556058246666715e-05,-2.1272124879751046e-05,-2.3161648313869785
84,3.357603323213304e-05,-2.1690416408679802e-05,-2.3443995202013004
85,3.359391642457437e-05,-2.2091403376839186e-05,-2.3726330137918654
86,3.3605902652106985e-05,-2.241383969597048e-05,-2.400865380446779
87,3.3610084755100025e-05,-2.257937244885836e-05,-2.4290966817093222
88,3.360681405146671e-05,-2.2509944909822585e-05,-2.457326973045667
89,3.359841878662285e-05,-2.214364814426578e-05,-2.485556304573057
90,3.358826092071241e-05,-2.160019571047346e-05,-2.513784722052527
91,3.357906369251432e-05,-2.1077100294372316e-05,-2.542012267016379
92,3.3572753192280304e-05,-2.0576158282931464e-05,-2.570238977506488
93,3.357045556371805e-05,-2.009851304507732e-05,-2.598464888457862
94,3.357228578575572e-05,-1.9644084580121912e-05,-2.6266900318671387
95,3.3577397295655705e-05,-1.9211293371640047e-05,-2.654914437060605
96,3.3584262086624785e-05,-1.8797162024598585e-05,-2.6831381309890556
97,3.3591094798363384e-05,-1.839777989869136e-05,-2.7113611385116996
98,3.359630403118295e-05,-1.8009025522711436e-05,-2.7395834826141225
99,3.359885553245836e-05,-1.762737482151816e-05,-2.7678051845437697
100,3.359846288953065e-05,-1.725059748843117e-05,-2.796026263900609
101,3.359557217393916e-05,-1.687816662120237e-05,-2.8242467387407566
102,3.359116316593791e-05,-1.6511273494115716e-05,-2.8524666257187126
103,3.3586436146697954e-05,-1.6152434302110605e-05,-2.8806859402433833
104,3.358247800061164e-05,-1.5804775867768415e-05,-2.908904696600587
105,3.3579999114404963e-05,-1.5471167816952803e-05,-2.9371229080194174
106,3.357920547916213e-05,-1.515340928864027e-05,-2.965340586703968
107,3.357982737047782e-05,-1.4851668191521765e-05,-2.993557743872885
108,3.358127985730868e-05,-1.4564312061558636e-05,-3.0217743898290457
109,3.358289432606321e-05,-1.428817575617483e-05,-3.049990534043806
110,3.358414398138274e-05,-1.4019205172037372e-05,-3.078206185222351
111,3.35847936617675e-05,-1.3753324044918333e-05,-3.1064213513342973
112,3.358493215394133e-05,-1.348731541083373e-05,-3.1346360396255353
113,3.3584883946873654e-05,-1.3373606056233436e-05,3.1203349772081452
114,3.3585039689658465e-05,-1.3364130555395165e-05,3.0921205641440754
115,3.35856615921108e-05,-1.3354378433746294e-05,3.0639058552619214
116,3.358673882151334e-05,-1.3387473190321416e-05,3.0356909998806825
117,3.423375460964289e-05,-1.3376035151536696e-05,3.007396545939922
118,3.5650192923148735e-05,-1.3380198126801519e-05,2.979079092955762
119,3.765280206026275e-05,-1.340635920945199e-05,2.950763418497295
120,4.003736252664527e-05,-1.3453468749026451e-05,2.9224559696780994
121,4.242042327684553e-05,-1.3512764634355973e-05,2.8941577025225573
122,4.456648137893879e-05,-1.3568749250601116e-05,2.865867943067267
123,4.651026462219152e-05,-1.3606048924780112e-05,2.8375856255683436
124,4.8285693011341885e-05,-1.3614287337747792e-05,2.8093097037207304
125,4.992119771710938e-05,-1.359041432166218e-05,2.7810392677418214
126,5.143823126448601e-05,-1.353924344431379e-05,2.7527735595904694
127,5.2851322813169736e-05,-1.3472116142911133e-05,2.7245119570405674
128,5.416917040597577e-05,-1.3404048773425663e-05,2.69625395117524
129,5.539649807226209e-05,-1.335007394849406e-05,2.6679991248883734
130,5.6536345485521073e-05,-1.3321667043857202e-05,2.639747133970294
131,5.7592345339152125e-05,-1.3324109767617764e-05,2.6114976910628798
132,5.857049927551953e-05,-1.3355397979339639e-05,2.583250552977025
133,5.948003861010549e-05,-1.340691422579337e-05,2.5550055117342274
134,6.033315033525136e-05,-1.3465654304287623e-05,2.5267623887808335
135,6.114361979966825e-05,-1.3517428091633156e-05,2.4985210308599566
136,6.192472053501818e-05,-1.355023669059973e-05,2.470281305979739
137,6.268689328305698e-05,-1.3557010178806753e-05,2.442043098967674
138,6.343583912780192e-05,-1.353707168247592e-05,2.4138063073800557
139,6.417157584668709e-05,-1.3496023739023689e-05,2.3855708389184804
140,6.488878323564258e-05,-1.3444146242427387e-05,2.3573366106612847
141,6.557844329007144e-05,-1.3393752753050138e-05,2.3291035491491168
142,6.623044358352238e-05,-1.3356186733551169e-05,2.300871589879253
143,6.683654425528953e-05,-1.3339197784253448e-05,2.272640675543806
144,6.739298346579533e-05,-1.3345312312390806e-05,2.244410753695117
145,6.790205170021337e-05,-1.3371541591407588e-05,2.216181775202601
146,6.836346315467863e-05,-1.3410421622427584e-05,2.187953694241308
147,6.87445491846486e-05,-1.3451977556791871e-05,2.159726469286945
148,6.906630139232672e-05,-1.3486251475809277e-05,2.1315000638855626
149,6.940714863051001e-05,-1.3505866406586858e-05,2.103274445833061
150,6.984430941115229e-05,-1.3507693594526766e-05,2.0750495853699458
151,7.030897144847242e-05,-1.3493051557927035e-05,2.046825453900182
152,7.078320547376934e-05,-1.3466832977747016e-05,2.018602024105019
153,7.125612903288594e-05,-1.343614694762853e-05,1.9903792706631591
154,7.171347682863632e-05,-1.3408409174343619e-05,1.9621571711707964
155,7.214114164027164e-05,-1.3389518537872009e-05,1.933935706022813
156,7.252875813611913e-05,-1.3382587765258038e-05,1.905714857341723
157,7.285096564846319e-05,-1.338749942718317e-05,1.8774946078497896
158,7.303476837415207e-05,-1.3401295507001816e-05,1.8492749406008804
159,7.30354796510543e-05,-1.3419280107039432e-05,1.8210558396529115
160,7.284764643461743e-05,-1.3436501139871391e-05,1.7928372908379133
161,7.250592245350963e-05,-1.3449101948755644e-05,1.7646192818542183
162,7.216580140693793e-05,-1.3455194010143577e-05,1.736401801596629
163,7.186728293186132e-05,-1.345504594983682e-05,1.708184839454633
164,7.160893556428022e-05,-1.3450558497897765e-05,1.679968385072163
165,7.138163617809436e-05,-1.34443735195469e-05,1.6517524287861287
166,7.117058682118127e-05,-1.343887936460999e-05,1.623536962062585
167,7.095871550168105e-05,-1.3435427494285415e-05,1.5953219774837046
168,7.073064749299146e-05,-1.343399904477194e-05,1.567107468329692
169,7.073972135257056e-05,-1.3433405732934553e-05,1.5388931875548906
170,7.07144852234569e-05,-1.3431928306559276e-05,1.5106786487803527
171,7.069259732966576e-05,-1.3428166693390615e-05,1.4824638580493008
172,7.066864359304238e-05,-1.3155977255047668e-05,1.454218665878463
173,7.060810565391182e-05,-1.183068410198292e-05,1.425908942465229
174,7.058075985858054e-05,-9.636353951097553e-06,1.3975900618360955
175,7.060046444154126e-05,-6.948699049190391e-06,1.369276822106004
176,7.066451381099244e-05,-4.402258370595194e-06,1.3409726678947693
177,7.075502924239554e-05,-2.1252513443700097e-06,1.3126776274322227
178,7.084765333303139e-05,-1.338406863232844e-07,1.2843907534196568
179,7.09182288501667e-05,1.6974236382118337e-06,1.2561109405651794
180,7.094935786145512e-05,3.406346239369142e-06,1.2278371726624489
181,7.0933090555639e-05,4.98897529028892e-06,1.199568590772618
182,7.087288214278868e-05,6.466687880473912e-06,1.171304488549804
183,7.07826213651131e-05,7.852562225445218e-06,1.1430442910773493
184,7.068309523881954e-05,9.1523380140667e-06,1.1147875285252449
185,7.059689759257873e-05,1.0366560761007357e-05,1.0865338123604056
186,7.05430316652267e-05,1.1493572714915982e-05,1.0582828174948267
187,7.053250434439185e-05,1.2532755534452199e-05,1.030034270653951
188,7.056594104205374e-05,1.3487290715465396e-05,1.0017879425163996
189,7.063373776051366e-05,1.436575205244398e-05,0.9735436403936967
190,7.071864108042827e-05,1.518192559326432e-05,0.9453011999643331
191,7.080006398461509e-05,1.5953725617828804e-05,0.9170604773070693
192,7.085905103689885e-05,1.669938487538504e-05,0.8888213436989204
193,7.088267094396535e-05,1.743430680605002e-05,0.8605836842604607
194,7.086681288559482e-05,1.8167837633796615e-05,0.8323473987656471
195,7.081677139373203e-05,1.8901238632536726e-05,0.8041124015059901
196,7.07455687217762e-05,1.9627534355897184e-05,0.7758786183571773
197,7.067051397448358e-05,2.033336259983389e-05,0.7476459821157043
198,7.06089058221689e-05,2.100247961036651e-05,0.7194144290683043
199,7.057395461125996e-05,2.1620128531321636e-05,0.6911838988780511
200,7.057189721439642e-05,2.2177216944933234e-05,0.6629543370271718
201,7.060094025313546e-05,2.2673246379244664e-05,0.6347256968762468
202,7.065218801486283e-05,2.31172042329844e-05,0.6064979388982774
203,7.071221617850851e-05,2.352610894388435e-05,0.5782710273436001
204,7.076656600416028e-05,2.3921477464082055e-05,0.5500449269888348
205,7.080324787137522e-05,2.4324516271636708e-05,0.5218196025326857
206,7.081539505560878e-05,2.4751186145611546e-05,0.49359502077319617
207,7.080247353326214e-05,2.5208362262495036e-05,0.4653711532240221
208,7.076985321069625e-05,2.5692078101041074e-05,0.4371479765687997
209,7.072697120404813e-05,2.6188353827522583e-05,0.4089254704584929
210,7.068465792178802e-05,2.6676482804910323e-05,0.38070361460037255
211,7.065236860771216e-05,2.713403733480464e-05,0.3524823876229336
212,7.063603153255487e-05,2.754241052049771e-05,0.3242617684485375
213,7.063700912778956e-05,2.789155031032063e-05,0.29604173860993765
214,7.065233736671273e-05,2.81827106177346e-05,0.26782228324487456
215,7.067605651714658e-05,2.8428507690335162e-05,0.23960338992183375
216,7.070116900013326e-05,2.8650217992378833e-05,0.21138504651344986
217,7.072162847096077e-05,2.887292915294922e-05,0.18316724007962615
218,7.073380607831987e-05,2.9119690877911433e-05,0.1549499575751689
219,7.07370737509744e-05,2.9406073626396866e-05,0.12673318741214892
220,7.073342772989065e-05,2.973646112025722e-05,0.09851692023692478
221,7.072636338079754e-05,3.0102994574027774e-05,0.07030114825686652
222,7.071942153680798e-05,3.0487449189096016e-05,0.04208586395924268
223,7.071489955557883e-05,3.086561183234311e-05,0.01387105956472199
224,7.071314009703026e-05,3.108032735240085e-05,-0.014343273960242722
225,7.0712609724362e-05,3.1117263072862594e-05,-0.04255764965360797
226,7.07107064627745e-05,3.11056100500144e-05,-0.07077231758847727
227,7.070501115910703e-05,3.110288686847762e-05,-0.0989871453612448
228,7.024348859180614e-05,3.1007118078916216e-05,-0.1272703756173229
229,6.90493303633085e-05,3.090860920050593e-05,-0.15558747781003363
230,6.722779024027981e-05,3.083812440060547e-05,-0.1839054440276926
231,6.512274971178293e-05,3.0817169942504804e-05,-0.21221558431420937
232,6.319138174093133e-05,3.0851089788534e-05,-0.24051632336736725
233,6.184397172072198e-05,3.0927618987848774e-05,-0.26880820964759744
234,6.130374385329086e-05,3.1021238083761676e-05,-0.29709232484880616
235,6.153276189051364e-05,3.1101729130995e-05,-0.3253697661760332
236,6.224588401178059e-05,3.114399572305283e-05,-0.35364149420732044
237,6.300441468358923e-05,3.113590814618658e-05,-0.3819083093711663
238,6.335519990142626e-05,3.108172116689325e-05,-0.4101708695846386
239,6.296791766221314e-05,3.100016397155864e-05,-0.4384297145177655
240,6.183247802427334e-05,3.091790029837668e-05,-0.46668528638566875
241,6.065912064620243e-05,3.085808391001267e-05,-0.4949379467164736
242,5.957270107401544e-05,3.083361832443031e-05,-0.5231879921717505
243,5.857069632265366e-05,3.0848523452832634e-05,-0.5514356750516073
244,5.7674523643933916e-05,3.089755926418767e-05,-0.5796812115141983
245,5.7032326332019735e-05,3.096708200343016e-05,-0.6079247884134593
246,5.668404919582434e-05,3.1038263236090853e-05,-0.6361665659173408
247,5.651611176457627e-05,3.109274795528847e-05,-0.6644066806805705
248,5.6299118832391644e-05,3.111791655482894e-05,-0.6926452504777438
249,5.575653096385967e-05,3.1110140865320593e-05,-0.7208823798785828
250,5.5018081086700174e-05,3.10745661241843e-05,-0.749118164372467
251,5.4292491868525586e-05,3.102107247263877e-05,-0.7773526890760258
252,5.358859631821178e-05,3.09626784777521e-05,-0.8055860302407799
253,5.291789528873324e-05,3.0912898102103826e-05,-0.8338182547814046
254,5.229132674786884e-05,3.088252655464629e-05,-0.8620494213153402
255,5.171604671089214e-05,3.087724075280268e-05,-0.8902795826871113
256,5.1193036336848084e-05,3.089655297494873e-05,-0.918508788353304
257,5.071617200162969e-05,3.093429907045383e-05,-0.9467370851292306
258,5.027305373453857e-05,3.09804574832132e-05,-0.974964516198952
259,4.9847456572695286e-05,3.1023779368270696e-05,-1.0031911197817658
260,4.942285587032975e-05,3.105453918874029e-05,-1.031416929057322
261,4.8986187561767206e-05,3.106672553944142e-05,-1.059641973711602
262,4.853091565542537e-05,3.105917211352659e-05,-1.0878662819466929
263,4.805862082421423e-05,3.1035424572808473e-05,-1.1160898813932127
264,4.7578667272731655e-05,3.100246931831499e-05,-1.1443127983972614
265,4.710596944016117e-05,3.096872841017237e-05,-1.1725350566179595
266,4.665735219065063e-05,3.094188236074557e-05,-1.2007566764086433
267,4.624735969526051e-05,3.092708522999602e-05,-1.2289776756265816
268,4.588452600805623e-05,3.092599246815371e-05,-1.2571980711621724
269,4.5569030313210726e-05,3.093677758296172e-05,-1.2854178798729134
270,4.5292339081620434e-05,3.0955039469081186e-05,-1.31363711824933
271,4.503896115546463e-05,3.097527323083261e-05,-1.3418558013425672
272,4.4789925608642136e-05,3.099245268151274e-05,-1.3700739420871657
273,4.452716348662215e-05,3.100328031913103e-05,-1.3982915516520924
274,4.423774088456688e-05,3.10067907881336e-05,-1.4265086404195613
275,4.39169127974563e-05,3.100420357987187e-05,-1.4547252186521862
276,4.3569242593220396e-05,3.099814667136674e-05,-1.4829412963267106
277,4.320749569374574e-05,3.099154963437209e-05,-1.5111568824844563
278,4.284955564745857e-05,3.09865835404565e-05,-1.5393719848711538
279,4.251409399198508e-05,3.09839866886357e-05,-1.567586610233081
280,4.248087168495812e-05,3.098297521724985e-05,-1.5958008696997046
281,4.2486929897650465e-05,3.098174156869497e-05,-1.6240153294129853
282,4.252435930651873e-05,3.0978346833384706e-05,-1.6522300740484612
283,4.2554607549425204e-05,3.0971692165237695e-05,-1.680444939909434
284,4.2636736534975936e-05,3.092381725248917e-05,-1.7087466013817594
285,4.270963522711729e-05,3.082856489657624e-05,-1.7370652672552291
286,4.2756370735447965e-05,3.0844770852684965e-05,-1.765380380696577
287,4.276858204525895e-05,3.124253071826088e-05,-1.7936867974620372
288,4.2749047540871955e-05,3.230816662152911e-05,-1.821983982734141
289,4.2710470912042186e-05,3.420508239258068e-05,-1.8502727482781054
290,4.266769133635372e-05,3.614723326519998e-05,-1.8785541978520537
291,4.262953776518749e-05,3.791567906831764e-05,-1.9068293637723879
292,4.2603139395177725e-05,3.953302059558658e-05,-1.935099143256124
293,4.259303930048118e-05,4.101783057968077e-05,-1.9633642793630577
294,4.260010612968968e-05,4.2385950303050716e-05,-1.9916253798605117
295,4.2621353711902355e-05,4.3651707536222285e-05,-2.019882941282023
296,4.2650692440958996e-05,4.482868120821396e-05,-2.04813737128736
297,4.268041060762983e-05,4.592988312043713e-05,-2.0763890073849356
298,4.270301231861955e-05,4.696740607709687e-05,-2.1046381317416722
299,4.271296151027175e-05,4.79517262964731e-05,-2.1328849824478033
300,4.270791557655754e-05,4.889093414100827e-05,-2.161129761972095
301,4.268916640688071e-05,4.9790184649602435e-05,-2.189372643699657
302,4.2661206030304895e-05,5.0651602029682406e-05,-2.2176137772815285
303,4.2630548082788264e-05,5.1474751809290504e-05,-2.245853293120612
304,4.26041121959324e-05,5.225763912617892e-05,-2.27409130595546
305,4.2587574030998195e-05,5.299804072569535e-05,-2.3023279174442246
306,4.2584078020627445e-05,5.369487147737858e-05,-2.330563217894112
307,4.259360742757399e-05,5.43492538935554e-05,-2.358797287556724
308,4.261313225177392e-05,5.496092336054352e-05,-2.387030197925835
309,4.263738176502408e-05,5.549350064810179e-05,-2.4152620131640345
310,4.266008784278172e-05,5.5924055363101936e-05,-2.443492791360388
311,4.26756838291416e-05,5.627410442669563e-05,-2.471722585550829
312,4.268075415796012e-05,5.659444014556825e-05,-2.4999514440710477
313,4.2674781589295995e-05,5.694341849004525e-05,-2.528179410659052
314,4.2660055746047875e-05,5.736524344389958e-05,-2.556406524797774
315,4.264084212667429e-05,5.786389214392257e-05,-2.5846328224414017
316,4.262201909665741e-05,5.836016553470617e-05,-2.612858336784005
317,4.260780187791505e-05,5.883412619260278e-05,-2.6410830985743603
318,4.260093649837783e-05,5.92465128834537e-05,-2.6693071363530527
319,4.2602086151232215e-05,5.951970525001572e-05,-2.6975304762282932
320,4.260984514396105e-05,5.958565046063961e-05,-2.7257531419247356
321,4.262133330166584e-05,5.939808886066097e-05,-2.753975155158891
322,4.2633113540969415e-05,5.899853169728684e-05,-2.782196536159601
323,4.264232227684001e-05,5.8604753089872076e-05,-2.810417303841744
324,4.264726999047203e-05,5.823260942489337e-05,-2.8386374757240245
325,4.26475210490372e-05,5.7884906706053754e-05,-2.8668570679941614
326,4.2643831755261554e-05,5.7561221058942026e-05,-2.895076095440477
327,4.263778979983229e-05,5.725781013881351e-05,-2.9232945716149614
328,4.263127638547665e-05,5.696833320091504e-05,-2.9515125090719714
329,4.262591788479633e-05,5.6685216745298864e-05,-2.9797299195264713
330,4.2622682705512524e-05,5.640134241899123e-05,-3.007946813861518
331,4.2621724577870066e-05,5.611165095442916e-05,-3.0361632020577596
332,4.2622493411202676e-05,5.581427177008491e-05,-3.064379093175858
333,4.2624053393492404e-05,5.551089958673873e-05,-3.0925944954478184
334,4.262548883823417e-05,5.5206320456589934e-05,-3.1208094164120936
335,4.2626257984439e-05,5.4948948348792457e-05,3.134161444196477
336,4.2626378672809866e-05,5.492482178548763e-05,3.10594714687221
337,4.262638561051138e-05,5.49128735333779e-05,3.07773258879569
338,4.262708425194692e-05,5.492953221037875e-05,3.049517778689978
339,4.2508384556224816e-05,5.4958958532494315e-05,3.021268816992773
340,4.1963512636351986e-05,5.4990085657672396e-05,2.992957410019193
341,4.109113190015108e-05,5.5031529131960634e-05,2.9646394622906387
342,3.9943352973906214e-05,5.5076717903912484e-05,2.9363276897846404
343,3.8505920837082934e-05,5.5117951877089575e-05,2.908024967369233
344,3.670179448843407e-05,5.514893003345813e-05,2.8797311742295912
345,3.4655273413784464e-05,5.516618706004293e-05,2.851445350979843
346,3.279451694280549e-05,5.5166007467314595e-05,2.823166419404865
347,3.1090357000794875e-05,5.514687722311031e-05,2.7948933999323877
348,2.9519397728651134e-05,5.511207928275975e-05,2.766625460877095
349,2.8064172002289613e-05,5.5068770025353446e-05,2.7383619165131914
350,2.6712245023507984e-05,5.5026161184027556e-05,2.7101022059117086
351,2.5454800374724085e-05,5.4993260244831944e-05,2.6818458698192464
352,2.4285005229070254e-05,5.4976717290565286e-05,2.65359252997886
353,2.319644859579859e-05,5.4979289393108764e-05,2.6253418719710298
354,2.218194389950907e-05,5.499927403085906e-05,2.5970936316901656
355,2.1232929252394524e-05,5.503102154447043e-05,2.5688475851856865
356,2.0339577324278115e-05,5.506637396652339e-05,2.5406035412110666
357,1.949156401455002e-05,5.5096658348884545e-05,2.512361335543154
358,1.867928150409394e-05,5.511473960639951e-05,2.4841208262313206
359,1.7895160900426704e-05,5.5116638547832034e-05,2.4558818894103736
360,1.713472833437503e-05,5.51023417518218e-05,2.427644415819868
361,1.6397072041854337e-05,5.507563809318238e-05,2.399408308312819
362,1.5684538203864655e-05,5.50430583248313e-05,2.3711734803287072
363,1.500166796529482e-05,5.501220863796449e-05,2.342939854874388
364,1.4353588933434458e-05,5.498992469532301e-05,2.31470736343772
365,1.3744229500763541e-05,5.498069851416078e-05,2.286475944594365
366,1.317479111487359e-05,5.4985744428075176e-05,2.258245542568966
367,1.2642870978443541e-05,5.5002897797649713e-05,2.230016106228966
368,1.2142481931018448e-05,5.5027327413427953e-05,2.2017875887309915
369,1.1665000838494351e-05,5.5052844304952084e-05,2.173559947554192
370,1.1200844244073565e-05,5.507345470151371e-05,2.1453331443968833
371,1.0741479237345992e-05,5.508476419316118e-05,2.117107144619534
372,1.028127863877954e-05,5.508489947137583e-05,2.088881916393955
373,9.818751046561143e-06,5.5074753677024945e-05,2.060657430024909
374,9.356816588444885e-06,5.50575419608242e-05,2.032433657775699
375,8.902026578657903e-06,5.503782738232246e-05,2.0042105740928644
376,8.46288503274097e-06,5.502029972295001e-05,1.975988155801522
377,8.047657652151193e-06,5.500863250569926e-05,1.9477663819204802
378,7.662191511818142e-06,5.500469986467326e-05,1.919545233134236
379,7.3082795439432466e-06,5.500832112977583e-05,1.8913246912845274
380,6.982982358174902e-06,5.501755098111411e-05,1.8631047392137225
381,6.679093381144182e-06,5.502938851294268e-05,1.8348853609598443
382,6.386656071198115e-06,5.504067775930625e-05,1.8066665419972328
383,6.095182030748703e-06,5.504893973494119e-05,1.7784482692180361
384,5.796041008147184e-06,5.505291667180221e-05,1.7502305306296704
385,5.4844435075065764e-06,5.505270754608393e-05,1.722013315015441
386,5.160528230028786e-06,5.5049499610564516e-05,1.6937966118148622
387,4.829279102152389e-06,5.5045016700868525e-05,1.6655804112448236
388,4.499279195154044e-06,5.504087900876072e-05,1.637364704454952
389,4.180592326487256e-06,5.5038081473902654e-05,1.6091494835121956
390,3.882277881120333e-06,5.5036747892782684e-05,1.5809347412164603
391,3.7425293549059014e-06,5.503622172351584e-05,1.5527204305095574
392,3.7581850983224445e-06,5.503544716496749e-05,1.524506032316483
393,3.786369942005159e-06,5.503349111222897e-05,1.4962913405719909
394,3.786327985043584e-06,5.503002796185829e-05,1.468076497691721
395,3.828095418426489e-06,5.46412989719643e-05,1.439786460342143
396,3.853449885049058e-06,5.3802637704387185e-05,1.4114689450006832
397,3.852429659308746e-06,5.2691039333104e-05,1.3831521458892462
398,3.8236100512715014e-06,5.153130572701215e-05,1.354843438496857
399,3.7744155938416483e-06,5.051394029045336e-05,1.3265440328324656
400,3.718530614267847e-06,4.9726565785970834e-05,1.2982532997878644
401,3.671328523232886e-06,4.912147180017457e-05,1.2699701630043119
402,3.6448787982510055e-06,4.8528848079301034e-05,1.2416935507498292
403,3.6441774737451744e-06,4.770953970557552e-05,1.2134225274409876
404,3.6657796532940423e-06,4.642830023662716e-05,1.1851563144473367
405,3.700687884281792e-06,4.501674383808744e-05,1.1568942714569934
