date,quintile,return
1987-07-31,Q1,-0.0006841985925104977
1987-07-31,Q2,-0.005293139675057913
1987-07-31,Q3,-0.009560492274937663
1987-07-31,Q4,-0.010826013036670606
1987-07-31,Q5,0.026216759082639384
1987-08-31,Q1,-0.031380728857142826
1987-08-31,Q2,-0.011624556821106784
1987-08-31,Q3,0.025882476253968292
1987-08-31,Q4,0.014239388207850727
1987-08-31,Q5,0.0029182856349206604
1987-09-30,Q1,-0.0067361458510257766
1987-09-30,Q2,0.009628412236284939
1987-09-30,Q3,-0.013983172984297413
1987-09-30,Q4,-0.0012870536282905607
1987-09-30,Q5,0.01230562927378631
1987-10-31,Q1,0.007498080848382696
1987-10-31,Q2,-0.010521987330419535
1987-10-31,Q3,-0.012164579586821605
1987-10-31,Q4,0.003968654459722215
1987-10-31,Q5,0.011023628712574566
1987-11-30,Q1,0.02863047880022405
1987-11-30,Q2,0.010775191582475443
1987-11-30,Q3,-0.004019383047821787
1987-11-30,Q4,-0.013417293104866173
1987-11-30,Q5,-0.022087949311622675
1987-12-31,Q1,-0.017881607640478008
1987-12-31,Q2,-0.013123758251988435
1987-12-31,Q3,-0.004998563780376229
1987-12-31,Q4,0.019330384401114543
1987-12-31,Q5,0.016981848851736564
1988-01-31,Q1,0.05734518149023948
1988-01-31,Q2,-0.011696472587607797
1988-01-31,Q3,0.0004571929704145096
1988-01-31,Q4,-0.01985668758508676
1988-01-31,Q5,-0.026758136226228572
1988-02-29,Q1,-0.02417820604371351
1988-02-29,Q2,0.003502665911800796
1988-02-29,Q3,0.007471794573226142
1988-02-29,Q4,0.021880473151471957
1988-02-29,Q5,-0.008558127678924448
1988-03-31,Q1,-0.00812615368857335
1988-03-31,Q2,0.016430981544449635
1988-03-31,Q3,-0.0012779282402593766
1988-03-31,Q4,0.014465278597163555
1988-03-31,Q5,-0.021056614508348663
1988-04-30,Q1,0.0072409873204404215
1988-04-30,Q2,-0.022472681394078414
1988-04-30,Q3,0.030032133971661667
1988-04-30,Q4,0.00029356652172007436
1988-04-30,Q5,-0.015202080857362044
1988-05-31,Q1,0.026173814255679082
1988-05-31,Q2,-0.009875815550779902
1988-05-31,Q3,-0.006652231039477048
1988-05-31,Q4,-0.014627076830009906
1988-05-31,Q5,0.004880517785201621
1988-06-30,Q1,-0.026880948989787688
1988-06-30,Q2,-0.004553135173932861
1988-06-30,Q3,0.0018119681891126792
1988-06-30,Q4,0.020505681728069575
1988-06-30,Q5,0.009347630573410119
1988-07-31,Q1,0.018277145080418552
1988-07-31,Q2,0.009450248648826976
1988-07-31,Q3,-0.019355762244778738
1988-07-31,Q4,0.0063844272148145895
1988-07-31,Q5,-0.01453613264561978
1988-08-31,Q1,0.011671406612407056
1988-08-31,Q2,0.014113690880698302
1988-08-31,Q3,-0.005862786965880918
1988-08-31,Q4,-0.013217104677484947
1988-08-31,Q5,-0.006776151574920716
1988-09-30,Q1,-0.010734520893976715
1988-09-30,Q2,-0.0070594009983436555
1988-09-30,Q3,-0.005666722981753303
1988-09-30,Q4,0.009394527288056531
1988-09-30,Q5,0.014099006688689408
1988-10-31,Q1,-0.0064903083781491875
1988-10-31,Q2,0.019730639674290427
1988-10-31,Q3,-0.006253962466639117
1988-10-31,Q4,-0.012822397469618968
1988-10-31,Q5,0.005933327826098014
1988-11-30,Q1,-0.012550014603752763
1988-11-30,Q2,-0.001921472212128178
1988-11-30,Q3,-0.00876553307639235
1988-11-30,Q4,0.022949701808271553
1988-11-30,Q5,0.0004650383234182824
1988-12-31,Q1,-0.019216198220600753
1988-12-31,Q2,-0.016576713347164786
1988-12-31,Q3,0.010110705212177206
1988-12-31,Q4,0.03235489104665818
1988-12-31,Q5,-0.006308052537384122
1989-01-31,Q1,0.001353680371169698
1989-01-31,Q2,0.0004578429099910424
1989-01-31,Q3,-0.016192699539326387
1989-01-31,Q4,0.012626064470959509
1989-01-31,Q5,0.0017357734961896303
1989-02-28,Q1,0.010359297430109164
1989-02-28,Q2,0.009728335559928795
1989-02-28,Q3,-0.006988745729010477
1989-02-28,Q4,0.000896655710711968
1989-02-28,Q5,-0.013944328245800993
1989-03-31,Q1,-0.006008030832247148
1989-03-31,Q2,-0.006653980212323298
1989-03-31,Q3,0.033090106821635615
1989-03-31,Q4,-0.004686035939672761
1989-03-31,Q5,-0.015742059837392245
1989-04-30,Q1,6.903306519239993e-05
1989-04-30,Q2,-0.010663438437306208
1989-04-30,Q3,0.012336588021593558
1989-04-30,Q4,0.007327848503094288
1989-04-30,Q5,-0.009070989945146006
1989-05-31,Q1,-0.018693854116120033
1989-05-31,Q2,-0.0030635313827507985
1989-05-31,Q3,0.016590379735651032
1989-05-31,Q4,0.009039627712090995
1989-05-31,Q5,-0.003790757615592424
1989-06-30,Q1,-0.002672457856020702
1989-06-30,Q2,0.025562067666757535
1989-06-30,Q3,-0.018386262631903315
1989-06-30,Q4,-0.005622849100665472
1989-06-30,Q5,0.0011410707542511478
1989-07-31,Q1,-0.015821619838061553
1989-07-31,Q2,-0.001993461939551931
1989-07-31,Q3,0.002581421387984658
1989-07-31,Q4,0.007678534208761375
1989-07-31,Q5,0.007666835554613568
1989-08-31,Q1,-0.02232000183417356
1989-08-31,Q2,-0.0022921324181733264
1989-08-31,Q3,0.0014119930942528543
1989-08-31,Q4,0.012389864079302811
1989-08-31,Q5,0.010829888093989402
1989-09-30,Q1,0.002257723654657225
1989-09-30,Q2,0.0014875919111801154
1989-09-30,Q3,-0.007043147942264558
1989-09-30,Q4,0.005863598206964136
1989-09-30,Q5,-0.002561546074702895
