date,quintile,return
1987-07-31,Q1,-0.022413260323329756
1987-07-31,Q2,-0.010514885729812486
1987-07-31,Q3,0.009836036696886909
1987-07-31,Q4,-0.007330044535768754
1987-07-31,Q5,0.030573477533514866
1987-08-31,Q1,-0.011911701555555532
1987-08-31,Q2,-0.017619595720720686
1987-08-31,Q3,0.006567924174603216
1987-08-31,Q4,0.010350094868082391
1987-08-31,Q5,0.012516351555555584
1987-09-30,Q1,-0.015502842381668066
1987-09-30,Q2,0.0034597034264423196
1987-09-30,Q3,0.008970016683431344
1987-09-30,Q4,-0.010584690817871325
1987-09-30,Q5,0.013681467311357899
1987-10-31,Q1,-0.022285262732850007
1987-10-31,Q2,0.007661489128804743
1987-10-31,Q3,0.005867569970213278
1987-10-31,Q4,-0.013782914790994373
1987-10-31,Q5,0.02263375665015235
1987-11-30,Q1,-0.0004681443665677451
1987-11-30,Q2,0.027525134040452256
1987-11-30,Q3,0.021743426489307764
1987-11-30,Q4,-0.029428217576336752
1987-11-30,Q5,-0.019017906748401727
1987-12-31,Q1,-0.006285314589762088
1987-12-31,Q2,-0.02999252368675832
1987-12-31,Q3,0.010053831823304408
1987-12-31,Q4,0.014501723108665921
1987-12-31,Q5,0.011830650837477199
1988-01-31,Q1,0.025434955282546048
1988-01-31,Q2,-0.004990468764566653
1988-01-31,Q3,0.05053643193659463
1988-01-31,Q4,-0.024091335455224246
1988-01-31,Q5,-0.04735864435773337
1988-02-29,Q1,-0.039165863562923384
1988-02-29,Q2,0.0033473148114957474
1988-02-29,Q3,0.013656034951218022
1988-02-29,Q4,0.018085652677514504
1988-02-29,Q5,0.0042936235822384405
1988-03-31,Q1,-0.005290768479194896
1988-03-31,Q2,0.018237080920618154
1988-03-31,Q3,0.007669281695291765
1988-03-31,Q4,-0.012803565470854298
1988-03-31,Q5,-0.007619340472550969
1988-04-30,Q1,-0.0005048337891457732
1988-04-30,Q2,0.009835978247831246
1988-04-30,Q3,0.0038069239177644866
1988-04-30,Q4,0.009396088456286561
1988-04-30,Q5,-0.022526622000062484
1988-05-31,Q1,0.014439401357234939
1988-05-31,Q2,0.015144348248548009
1988-05-31,Q3,-0.005672584661222686
1988-05-31,Q4,-0.00764801651019981
1988-05-31,Q5,-0.01634909668680336
1988-06-30,Q1,0.008794081418807945
1988-06-30,Q2,-0.015811741874116356
1988-06-30,Q3,-0.025340308156408815
1988-06-30,Q4,0.010869198307998542
1988-06-30,Q5,0.021417139237543355
1988-07-31,Q1,0.01544382921345753
1988-07-31,Q2,0.001567673303681387
1988-07-31,Q3,0.000971642805902463
1988-07-31,Q4,-0.013884850846901971
1988-07-31,Q5,-0.004269366386462004
1988-08-31,Q1,0.015997838932400865
1988-08-31,Q2,0.02121795550030054
1988-08-31,Q3,-0.008287267448852017
1988-08-31,Q4,-0.01719962139583187
1988-08-31,Q5,-0.011789890350080387
1988-09-30,Q1,0.0023580602690174467
1988-09-30,Q2,-0.01692425735588556
1988-09-30,Q3,0.0063210472398292075
1988-09-30,Q4,-0.009284661312340247
1988-09-30,Q5,0.01716067145982693
1988-10-31,Q1,0.0010625285681145659
1988-10-31,Q2,0.029425576172448238
1988-10-31,Q3,-0.0027730654417474597
1988-10-31,Q4,-0.029328787990556705
1988-10-31,Q5,0.001615111905570703
1988-11-30,Q1,0.004899828624378519
1988-11-30,Q2,-0.008798012533283897
1988-11-30,Q3,0.012184864380902787
1988-11-30,Q4,-0.003687567026813941
1988-11-30,Q5,-0.0046034716361864425
1988-12-31,Q1,0.002738695506649481
1988-12-31,Q2,-0.00863177257850271
1988-12-31,Q3,0.009029397601452879
1988-12-31,Q4,-0.006311683681717892
1988-12-31,Q5,0.0030920665512907545
1989-01-31,Q1,-0.019162337671551222
1989-01-31,Q2,0.01759321446190646
1989-01-31,Q3,-0.012189644079171042
1989-01-31,Q4,0.012748965776002352
1989-01-31,Q5,0.0012835491938358106
1989-02-28,Q1,0.03925559308397924
1989-02-28,Q2,-0.013844538707169039
1989-02-28,Q3,-0.0010716081879950786
1989-02-28,Q4,-0.00978984654774749
1989-02-28,Q5,-0.014897571379700174
1989-03-31,Q1,-0.016731496651268433
1989-03-31,Q2,0.03276921501700455
1989-03-31,Q3,0.011689757873412277
1989-03-31,Q4,-0.020646780046190916
1989-03-31,Q5,-0.007080696192957318
1989-04-30,Q1,-0.0061412529234444934
1989-04-30,Q2,0.018143435770222552
1989-04-30,Q3,-0.021416016776916586
1989-04-30,Q4,-0.00022489165973803218
1989-04-30,Q5,0.009724020769368989
1989-05-31,Q1,-0.009443971744063537
1989-05-31,Q2,-0.01947425098557244
1989-05-31,Q3,0.017717136053690543
1989-05-31,Q4,0.00521502528508966
1989-05-31,Q5,0.005790729531945179
1989-06-30,Q1,0.022833545166333784
1989-06-30,Q2,-1.5499779847045507e-05
1989-06-30,Q3,-0.03630342315467959
1989-06-30,Q4,0.01062669048907991
1989-06-30,Q5,0.0025018507173705257
1989-07-31,Q1,-0.00410096018281808
1989-07-31,Q2,-0.013082427064254042
1989-07-31,Q3,0.0023689756933802327
1989-07-31,Q4,0.004771463245035026
1989-07-31,Q5,0.009962651171821463
1989-08-31,Q1,-0.00019259371511157197
1989-08-31,Q2,-0.005768389836296457
1989-08-31,Q3,-0.00499202881848502
1989-08-31,Q4,0.004100427801537627
1989-08-31,Q5,0.0067832508347655815
1989-09-30,Q1,0.006288500445090096
1989-09-30,Q2,0.0034488424519658026
1989-09-30,Q3,0.00834055986559109
1989-09-30,Q4,-0.011873114917594884
1989-09-30,Q5,-0.006205934592997774
