date,quintile,return
1987-07-31,Q1,-0.04462968194959198
1987-07-31,Q2,-0.015857011691523936
1987-07-31,Q3,0.019992553542180817
1987-07-31,Q4,0.023067618117790338
1987-07-31,Q5,0.009391688578035302
1987-08-31,Q1,-0.006417770401166949
1987-08-31,Q2,-0.006110731311641001
1987-08-31,Q3,0.011262036804806183
1987-08-31,Q4,0.030495808395406315
1987-08-31,Q5,0.01991298026241853
1987-09-30,Q1,-0.0015883339215235458
1987-09-30,Q2,-0.00175171056365917
1987-09-30,Q3,0.005596703557620786
1987-09-30,Q4,-0.004399795019001701
1987-09-30,Q5,0.00984192786739526
1987-10-31,Q1,-0.025259732006164375
1987-10-31,Q2,-0.01384982713816382
1987-10-31,Q3,-0.008867119591025758
1987-10-31,Q4,0.01082261404436069
1987-10-31,Q5,0.05736828507027258
1987-11-30,Q1,-0.01855911782204215
1987-11-30,Q2,0.02188052003268901
1987-11-30,Q3,0.018713716984412033
1987-11-30,Q4,-0.0433247431882664
1987-11-30,Q5,-0.05998746211110129
1987-12-31,Q1,-0.01818310347238761
1987-12-31,Q2,-0.012704673622035808
1987-12-31,Q3,0.017238547731964603
1987-12-31,Q4,-0.07124794690690821
1987-12-31,Q5,0.025522877817180496
1988-01-31,Q1,0.045768406939136946
1988-01-31,Q2,-0.014214491748961427
1988-01-31,Q3,-0.007261069001341958
1988-01-31,Q4,-0.014616191173537366
1988-01-31,Q5,-0.018588588325006268
1988-02-29,Q1,-0.02952501811778427
1988-02-29,Q2,0.01365756774120382
1988-02-29,Q3,0.03124658556353539
1988-02-29,Q4,-0.06199397306330158
1988-02-29,Q5,-0.017499247770198473
1988-03-31,Q1,0.02026838832585231
1988-03-31,Q2,0.011626033410985942
1988-03-31,Q3,-0.002085379510805168
1988-03-31,Q4,-0.08202124699564549
1988-03-31,Q5,-0.04570284051908864
1988-04-30,Q1,0.012073567434220183
1988-04-30,Q2,0.014942991130315797
1988-04-30,Q3,0.003586958174200913
1988-04-30,Q4,-0.023348603116812246
1988-04-30,Q5,-0.02556827111353025
1988-05-31,Q1,-0.01055331187805103
1988-05-31,Q2,0.008124297259056272
1988-05-31,Q3,-0.003646038239701588
1988-05-31,Q4,0.022647333999543443
1988-05-31,Q5,-0.011629561253279201
1988-06-30,Q1,0.03159731044491661
1988-06-30,Q2,-0.008966803469534443
1988-06-30,Q3,-0.0038349306387547304
1988-06-30,Q4,-0.03132306860926251
1988-06-30,Q5,0.0078061607925291095
1988-07-31,Q1,0.018368516922935257
1988-07-31,Q2,0.002303945786107757
1988-07-31,Q3,-0.006568603124727505
1988-07-31,Q4,-0.0026127891422125576
1988-07-31,Q5,-0.007455160126201685
1988-08-31,Q1,0.02093533415997103
1988-08-31,Q2,0.019000581807497998
1988-08-31,Q3,-0.008504365752216528
1988-08-31,Q4,-0.0064847110426064876
1988-08-31,Q5,-0.010193749616164573
1988-09-30,Q1,0.0033348349902412367
1988-09-30,Q2,-0.022493472392312603
1988-09-30,Q3,0.0040442409904167115
1988-09-30,Q4,-0.004780397072511435
1988-09-30,Q5,0.02152079859674058
1988-10-31,Q1,0.0075322449912623496
1988-10-31,Q2,0.027590161000314677
1988-10-31,Q3,0.009461078548281945
1988-10-31,Q4,-0.0027233006734208864
1988-10-31,Q5,0.06434003078997684
1988-11-30,Q1,0.01616443159006852
1988-11-30,Q2,-0.010476886425607394
1988-11-30,Q3,0.03690482239901693
1988-11-30,Q4,0.03230084757202241
1988-11-30,Q5,0.002314087955603018
1988-12-31,Q1,0.03538247984551879
1988-12-31,Q2,0.0017448678534035696
1988-12-31,Q3,0.02787572025826106
1988-12-31,Q4,-0.06900645849338183
1988-12-31,Q5,-0.01593990078676354
1989-01-31,Q1,-0.030948806295404283
1989-01-31,Q2,0.021062833619144922
1989-01-31,Q3,-0.010286576214762462
1989-01-31,Q4,-0.004890701547539964
1989-01-31,Q5,0.011348283164762442
1989-02-28,Q1,0.019630430945834963
1989-02-28,Q2,-0.02597775201467438
1989-02-28,Q3,0.0071284291740091685
1989-02-28,Q4,-0.011395178306012261
1989-02-28,Q5,-0.027173209773952288
1989-03-31,Q1,-0.010822646762350976
1989-03-31,Q2,0.039907602451659946
1989-03-31,Q3,0.009713610562276768
1989-03-31,Q4,0.0005289376925046996
1989-03-31,Q5,-0.006951008948912642
1989-04-30,Q1,-0.005431528947713871
1989-04-30,Q2,0.022887192952835558
1989-04-30,Q3,-0.012262717487219663
1989-04-30,Q4,-0.02257511516009484
1989-04-30,Q5,0.0030758369399384623
1989-05-31,Q1,-0.005056445881635535
1989-05-31,Q2,-0.02753421644137915
1989-05-31,Q3,0.005195331768314749
1989-05-31,Q4,-0.0008302770555993861
1989-05-31,Q5,-0.0010643985791795856
1989-06-30,Q1,-0.0015520329590168226
1989-06-30,Q2,0.0012892833666787382
1989-06-30,Q3,-0.03260633728972085
1989-06-30,Q4,0.0004605939078195
1989-06-30,Q5,0.01298844179266103
1989-07-31,Q1,-0.008528690319796195
1989-07-31,Q2,-0.01759566739029264
1989-07-31,Q3,0.007995565509112967
1989-07-31,Q4,0.07279118131431243
1989-07-31,Q5,0.01571034855645831
1989-08-31,Q1,0.003503876770303428
1989-08-31,Q2,-0.004362346588876748
1989-08-31,Q3,-0.009443238153725036
1989-08-31,Q4,-0.023960771354162143
1989-08-31,Q5,-0.006831082712647357
1989-09-30,Q1,0.0059812404097233365
1989-09-30,Q2,0.021770733517632028
1989-09-30,Q3,0.0012636168532113821
1989-09-30,Q4,0.014101395946602436
1989-09-30,Q5,-0.010969936441359195
