date,quintile,return
1987-07-31,Q1,-0.013742120251804844
1987-07-31,Q2,0.002742594082273455
1987-07-31,Q3,-0.018390934286554354
1987-07-31,Q4,-0.000336359536120575
1987-07-31,Q5,0.02944388254164415
1987-08-31,Q1,-0.007297362603174573
1987-08-31,Q2,-0.029454080244530206
1987-08-31,Q3,0.015463959031746067
1987-08-31,Q4,0.014465733317245828
1987-08-31,Q5,0.0066219058730159
1987-09-30,Q1,-0.007629511005729754
1987-09-30,Q2,0.006516228966245018
1987-09-30,Q3,-0.007975133275147124
1987-09-30,Q4,0.00019662088203698132
1987-09-30,Q5,0.008875611311737471
1987-10-31,Q1,0.01515036854563168
1987-10-31,Q2,-0.017912141228552465
1987-10-31,Q3,-0.007734639913816385
1987-10-31,Q4,0.0008603669375782717
1987-10-31,Q5,0.009511293402484413
1987-11-30,Q1,0.023163972553921188
1987-11-30,Q2,0.010293619457498971
1987-11-30,Q3,-0.0001852585023672395
1987-11-30,Q4,-0.01806790128668435
1987-11-30,Q5,-0.01534656687114649
1987-12-31,Q1,-0.027979332918378085
1987-12-31,Q2,-0.012359235417423576
1987-12-31,Q3,-0.00972916978019807
1987-12-31,Q4,0.025807567011392193
1987-12-31,Q5,0.0247425733963039
1988-01-31,Q1,0.07705522080805702
1988-01-31,Q2,-0.012644534390084247
1988-01-31,Q3,-0.009296560391971121
1988-01-31,Q4,-0.024390816377933264
1988-01-31,Q5,-0.03132065401529435
1988-02-29,Q1,-0.022472705067035175
1988-02-29,Q2,-0.0017516541182355017
1988-02-29,Q3,7.466560536176181e-05
1988-02-29,Q4,0.030652447623631188
1988-02-29,Q5,-0.006501568875382993
1988-03-31,Q1,-0.016805444145849485
1988-03-31,Q2,0.028101220830538346
1988-03-31,Q3,-0.0010210437185385521
1988-03-31,Q4,0.025089662741116063
1988-03-31,Q5,-0.034597192180014544
1988-04-30,Q1,-6.625693056550887e-05
1988-04-30,Q2,-0.01014797939968081
1988-04-30,Q3,0.029211069399939886
1988-04-30,Q4,-0.00905694920377276
1988-04-30,Q5,-0.009938894956509169
1988-05-31,Q1,0.02816694903541547
1988-05-31,Q2,-0.019117077311868267
1988-05-31,Q3,-0.005552489379385009
1988-05-31,Q4,-0.005287084773224104
1988-05-31,Q5,0.0017055738021013909
1988-06-30,Q1,-0.011171575186684974
1988-06-30,Q2,-0.04407939104069853
1988-06-30,Q3,0.04176520955138393
1988-06-30,Q4,0.011994470216391353
1988-06-30,Q5,0.0010262876070823337
1988-07-31,Q1,0.011192593922600682
1988-07-31,Q2,0.007849598951073376
1988-07-31,Q3,0.00120447878633745
1988-07-31,Q4,-0.009691401232596122
1988-07-31,Q5,-0.010580851014658848
1988-08-31,Q1,0.016881503170383602
1988-08-31,Q2,0.006357390684180498
1988-08-31,Q3,-0.011104989070921589
1988-08-31,Q4,-0.0076360145238689465
1988-08-31,Q5,-0.004674799015639679
1988-09-30,Q1,0.0019218942355098737
1988-09-30,Q2,-0.029693108273446494
1988-09-30,Q3,0.0003038071268867908
1988-09-30,Q4,0.008868591410909977
1988-09-30,Q5,0.018305512445738185
1988-10-31,Q1,-0.005187734240126802
1988-10-31,Q2,0.014378093497542722
1988-10-31,Q3,-0.010487995530925213
1988-10-31,Q4,-0.0016615402322867718
1988-10-31,Q5,0.003138282889813638
1988-11-30,Q1,0.0013248673327325093
1988-11-30,Q2,-0.01953432528820229
1988-11-30,Q3,-0.004457207401849023
1988-11-30,Q4,0.01970493134825964
1988-11-30,Q5,0.002899609351931611
1988-12-31,Q1,-0.015106483138412327
1988-12-31,Q2,-0.019994960755909022
1988-12-31,Q3,0.011265244855638
1988-12-31,Q4,0.03335376173361361
1988-12-31,Q5,-0.009170745147981562
1989-01-31,Q1,-0.0016608114359909904
1989-01-31,Q2,-0.001845716222146658
1989-01-31,Q3,-0.015891975634461417
1989-01-31,Q4,0.011630886981045007
1989-01-31,Q5,0.007791342189211275
1989-02-28,Q1,0.014828135278150516
1989-02-28,Q2,0.008456442831651726
1989-02-28,Q3,-0.0047151648617179765
1989-02-28,Q4,-0.009771180545401515
1989-02-28,Q5,-0.008883160907971028
1989-03-31,Q1,-0.018142499758279203
1989-03-31,Q2,-0.0038549656096048147
1989-03-31,Q3,0.04163711019390781
1989-03-31,Q4,-0.015175805971360914
1989-03-31,Q5,-0.004463838854662709
1989-04-30,Q1,0.0007579048377699106
1989-04-30,Q2,-0.009503119646751082
1989-04-30,Q3,0.01611709571685306
1989-04-30,Q4,0.0013299021504273698
1989-04-30,Q5,-0.008712309514379242
1989-05-31,Q1,-0.01779255035876746
1989-05-31,Q2,0.0033892369867758398
1989-05-31,Q3,0.010795717048110262
1989-05-31,Q4,0.006716961699958172
1989-05-31,Q5,-0.002970924298176206
1989-06-30,Q1,0.007478058427504205
1989-06-30,Q2,0.011553510403913067
1989-06-30,Q3,-0.016270421308544742
1989-06-30,Q4,-0.002799510654309363
1989-06-30,Q5,-6.603161243745294e-05
1989-07-31,Q1,-0.011301897066557794
1989-07-31,Q2,-0.021583881535765997
1989-07-31,Q3,0.006221626873508529
1989-07-31,Q4,0.012694479824499939
1989-07-31,Q5,0.013933620892994535
1989-08-31,Q1,-0.026843891924137605
1989-08-31,Q2,0.004688970414691736
1989-08-31,Q3,0.002781688770419034
1989-08-31,Q4,0.00810850237516223
1989-08-31,Q5,0.01130336493012065
1989-09-30,Q1,0.0021689549935316335
1989-09-30,Q2,-0.0023751516286253885
1989-09-30,Q3,-0.004273472378944364
1989-09-30,Q4,0.006378032820565019
