step,omega_l,omega_r,dt
1,0.0,0.0,0.064
2,0.588749999991478,-0.6868750000137425,0.064
3,0.5887500000198997,-0.588749999991478,0.064
4,0.6868749999853208,-0.588749999991478,0.064
5,0.588749999991478,-0.6868750000137425,0.064
6,0.6868750000137425,-0.588749999991478,0.064
7,0.588749999991478,-0.6868750000137425,0.064
8,0.588749999991478,-0.588749999991478,0.064
9,0.6868750000137425,-0.588749999991478,0.064
10,0.588749999991478,-0.6868750000137425,0.064
11,0.6868750000137425,-0.588749999991478,0.064
12,0.588749999991478,-0.6868750000137425,0.064
13,0.588749999991478,-0.588749999991478,0.064
14,0.6868750000137425,-0.588749999991478,0.064
15,0.588749999991478,-0.6868750000137425,0.064
16,0.6868750000137425,-0.588749999991478,0.064
17,0.588749999991478,-0.6868749999853208,0.064
18,0.588749999991478,-0.5887500000198997,0.064
19,0.6868750000137425,-0.588749999991478,0.064
20,0.588749999991478,-0.6868750000137425,0.064
21,0.6868750000137425,-0.588749999991478,0.064
22,0.588749999991478,-0.6868749999853208,0.064
23,0.588749999991478,-0.5887500000198997,0.064
24,0.6868750000137425,-0.588749999991478,0.064
25,0.588749999991478,-0.6868750000137425,0.064
26,0.6868750000137425,-0.588749999991478,0.064
27,0.588749999991478,-0.6868749999853208,0.064
28,0.588749999991478,-0.5887500000198997,0.064
29,0.6868750000137425,-0.588749999991478,0.064
30,0.588749999991478,-0.6868749999853208,0.064
31,0.6868750000137425,-0.5887500000198997,0.064
32,0.588749999991478,-0.6868749999853208,0.064
33,0.588749999991478,-0.5887500000198997,0.064
34,0.6868750000137425,-0.588749999991478,0.064
35,0.588749999991478,-0.6868749999853208,0.064
36,0.6868749999853208,-0.5887500000198997,0.064
37,0.5887500000198997,-0.6868749999853208,0.064
38,0.588749999991478,-0.588749999991478,0.064
39,0.6868750000137425,-0.5887500000198997,0.064
40,0.588749999991478,-0.6868749999853208,0.064
41,0.6868749999853208,-0.5887500000198997,0.064
42,0.5887500000198997,-0.6868749999853208,0.064
43,0.588749999991478,-0.588749999991478,0.064
44,0.6868749999853208,-0.5887500000198997,0.064
45,0.5887500000198997,-0.6868749999853208,0.064
46,0.6868749999853208,-0.5887500000198997,0.064
47,0.5887500000198997,-0.6868749999853208,0.064
48,0.588749999991478,-0.588749999991478,0.064
49,0.6868749999853208,-0.5887500000198997,0.064
50,0.5887500000198997,-0.6868749999853208,0.064
51,0.6868749999853208,-0.588749999991478,0.064
52,0.5887500000198997,-0.6868750000137425,0.064
53,0.588749999991478,-0.588749999991478,0.064
54,0.6868749999853208,-0.5887500000198997,0.064
55,0.5887500000198997,-0.6868749999853208,0.064
56,0.6868749999853208,-0.588749999991478,0.064
57,0.588749999991478,-0.6868750000137425,0.064
58,0.5887500000198997,-0.588749999991478,0.064
59,0.6868749999853208,-0.5887500000198997,0.064
60,0.5887500000198997,-0.6868749999853208,0.064
61,0.6868749999853208,-0.588749999991478,0.064
62,0.588749999991478,-0.6868750000137425,0.064
63,0.5887500000198997,-0.588749999991478,0.064
64,0.6868749999853208,-0.588749999991478,0.064
65,0.5887500000198997,-0.6868750000137425,0.064
66,0.6868749999853208,-0.588749999991478,0.064
67,0.588749999991478,-0.6868750000137425,0.064
68,0.5887500000198997,-0.588749999991478,0.064
69,0.6868749999853208,-0.588749999991478,0.064
70,0.588749999991478,-0.6868750000137425,0.064
71,0.6868750000137425,-0.588749999991478,0.064
72,0.588749999991478,-0.6868750000137425,0.064
73,0.5887500000198997,-0.588749999991478,0.064
74,0.6868749999853208,-0.588749999991478,0.064
75,0.588749999991478,-0.6868750000137425,0.064
76,0.6868750000137425,-0.588749999991478,0.064
77,0.588749999991478,-0.6868750000137425,0.064
78,0.588749999991478,-0.588749999991478,0.064
79,0.6868750000137425,-0.588749999991478,0.064
80,0.588749999991478,-0.6868750000137425,0.064
81,0.6868750000137425,-0.588749999991478,0.064
82,0.588749999991478,-0.6868750000137425,0.064
83,0.588749999991478,-0.588749999991478,0.064
84,0.6868750000137425,-0.588749999991478,0.064
85,0.588749999991478,-0.6868750000137425,0.064
86,0.6868750000137425,-0.588749999991478,0.064
87,0.588749999991478,-0.6868750000137425,0.064
88,0.588749999991478,-0.588749999991478,0.064
89,0.6868750000137425,-0.588749999991478,0.064
90,0.588749999991478,-0.6868750000137425,0.064
91,0.6868750000137425,-0.588749999991478,0.064
92,0.588749999991478,-0.6868749999853208,0.064
93,0.588749999991478,-0.5887500000198997,0.064
94,0.6868750000137425,-0.588749999991478,0.064
95,0.588749999991478,-0.6868750000137425,0.064
96,0.6868750000137425,-0.588749999991478,0.064
97,0.588749999991478,-0.6868749999853208,0.064
98,0.588749999991478,-0.5887500000198997,0.064
99,0.6868750000137425,-0.588749999991478,0.064
100,0.588749999991478,-0.6868749999853208,0.064
101,0.6868750000137425,-0.5887500000198997,0.064
102,0.588749999991478,-0.6868749999853208,0.064
103,0.588749999991478,-0.5887500000198997,0.064
104,0.6868750000137425,-0.588749999991478,0.064
105,0.588749999991478,-0.6868749999853208,0.064
106,0.6868749999853208,-0.5887500000198997,0.064
