year,tvol_36m,svol_36m,ivol_36m
1996,,,
1997,0.16569082249256895,0.05629497338163433,0.153956983435628
1998,0.16161299728558443,0.06065942818691276,0.14488052656724426
1999,0.19502917252518331,0.05646794201591095,0.1845934625324538
2000,0.16799962123470694,0.03206154528485087,0.1641213527285847
2001,0.21263144626515837,0.06819062353249425,0.19782167746261412
2002,0.24909541081625508,0.09687882887833363,0.21807478760360233
2003,0.29293638349494944,0.11562516641771547,0.2650079387579507
2004,0.1301056639884496,0.03144399148944576,0.12556572728427684
2005,0.13374449214563816,0.05295995323906599,0.12038169538903967
2006,0.1389036843020095,0.0414158970337929,0.1307661562979347
2007,0.12897414503070004,0.03187860824381728,0.12289913358103038
2008,0.14928200092950136,0.07169679877073118,0.1268714072102788
2009,0.15568034550734355,0.0832937907293205,0.1267529778714313
2010,0.20154393887267813,0.11310232996760305,0.1594321072162131
2011,0.17924858171986138,0.0927397219857234,0.1483049209056012
2012,0.13665886218256268,0.0584076913561271,0.1180113869827597
2013,0.11916865483875375,0.04578453226925054,0.10524998236579797
2014,0.10636573960344345,0.03662472516554614,0.09752684230539319
2015,0.11025145343923648,0.0456476720543951,0.0978356951531953
2016,0.12104962021269053,0.03975496729012255,0.1110809003224614
2017,0.13579426680859463,0.03586307635265085,0.12870083778346852
2018,0.1149803146714371,0.03923118703867806,0.1060577059704128
2019,0.0946550746045085,0.04910102141846438,0.08013040430277733
2020,0.22051681023187958,0.10564640913911591,0.18803546647724825
2021,0.2978525521663352,0.015580817336352281,0.27468954372695176
2022,0.17124001947276685,0.0639024991815889,0.15556004602498547
2023,0.2104423557938321,0.058670324590712995,0.19662972451334942
