year,sys_var,idio_var,tot_var,sys_share,idio_share
1997,0.0027964733914199245,0.026963744268149684,0.029760217659569606,0.0939668326155773,0.9060331673844229
1998,0.004340227401296982,0.04955970442104113,0.05389993182233811,0.08052380132136332,0.9194761986786366
1999,0.0059726541610158005,0.0709762559198637,0.0769489100808795,0.07761843741175878,0.9223815625882411
2000,0.004373341709082049,0.051204889112032685,0.05557823082111474,0.07868803386632041,0.9213119661336795
2001,0.0042286508562897505,0.030020152250216762,0.03424880310650651,0.12346857328530703,0.876531426714693
2002,0.005862132637681825,0.03339090276876397,0.039253035406445785,0.14934214837100718,0.850657851628993
2003,0.007073412061614476,0.040913569959670465,0.04798698202128494,0.14740272806647892,0.8525972719335212
2004,0.0033709907721857363,0.024606262901117386,0.02797725367330312,0.12049041022930905,0.879509589770691
2005,0.002565375547293783,0.01929561761276045,0.021860993160054232,0.1173494510753243,0.8826505489246758
2006,0.001570497907107001,0.01209384302023723,0.01366434092734423,0.11493404002854014,0.88506595997146
2007,0.001358082810512944,0.010916233779274292,0.012274316589787235,0.11064427095215451,0.8893557290478455
2008,0.00375154842771826,0.022928715234411107,0.026680263662129368,0.1406113700833962,0.8593886299166038
2009,0.010285304820618114,0.04172290449689657,0.05200820931751469,0.19776310231766342,0.8022368976823365
2010,0.012923498192375817,0.036196486713297685,0.04911998490567349,0.26310061408188906,0.7368993859181111
2011,0.008317958775922188,0.02983185501840486,0.03814981379432704,0.21803405963567474,0.7819659403643254
2012,0.00443300126010038,0.011940761436339532,0.016373762696439913,0.2707380913163125,0.7292619086836875
2013,0.0033706390939154257,0.013187837070495735,0.016558476164411164,0.20355973946200917,0.7964402605379907
2014,0.0020934725243927053,0.01227204800857581,0.014365520532968513,0.1457289709473623,0.8542710290526377
2015,0.0022504017762533983,0.021250474640193803,0.023500876416447204,0.09575820647601226,0.9042417935239876
2016,0.0030727656899112703,0.024716710084406623,0.027789475774317892,0.11057299946445978,0.8894270005355402
2017,0.002090718738100985,0.017068288870581445,0.01915900760868243,0.10912458415401007,0.89087541584599
2018,0.002238488524477144,0.014014458633747633,0.016252947158224777,0.13772816109503933,0.8622718389049606
2019,0.00241027921222821,0.02213822307935818,0.024548502291586387,0.09818436919690596,0.9018156308030941
2020,0.008782206778896007,0.025269038668848394,0.0340512454477444,0.25791147029771133,0.7420885297022888
2021,0.012520810364495783,0.05336293860630603,0.0658837489708018,0.1900439874792906,0.8099560125207096
2022,0.0072299959730754825,0.025345067507535776,0.03257506348061126,0.22194879151590263,0.7780512084840973
2023,0.004925365818407287,0.0272754413352269,0.03220080715363419,0.15295783720289166,0.8470421627971083
