industry,year,beta_mean,beta_std,N,window
"Agriculture, Forestry & Fishing",1996,0.6046732104948688,1.0667268219846435,6,12m
"Agriculture, Forestry & Fishing",1997,1.0054243724160683,1.0126384642063913,9,12m
"Agriculture, Forestry & Fishing",1998,-0.2955908296259819,2.6302310568093192,9,12m
"Agriculture, Forestry & Fishing",1999,0.5749152551360014,0.6103277929806553,10,12m
"Agriculture, Forestry & Fishing",2000,-0.031087053191015214,1.1953005923547826,10,12m
"Agriculture, Forestry & Fishing",2001,0.5681924821472389,0.98075140267726,10,12m
"Agriculture, Forestry & Fishing",2002,0.24250958980696036,0.5974263351586204,8,12m
"Agriculture, Forestry & Fishing",2003,0.2674133441294412,1.183122921236544,9,12m
"Agriculture, Forestry & Fishing",2004,1.3842461992549575,1.7336180306035764,8,12m
"Agriculture, Forestry & Fishing",2005,0.6868238785997846,0.9733729938990716,8,12m
"Agriculture, Forestry & Fishing",2006,0.4851393074888142,1.4600337360828055,10,12m
"Agriculture, Forestry & Fishing",2007,0.5294129086458434,1.0975500994863816,7,12m
"Agriculture, Forestry & Fishing",2008,1.180892651348317,0.6590007894027919,7,12m
"Agriculture, Forestry & Fishing",2009,1.6360932698665664,1.3206672451292194,10,12m
"Agriculture, Forestry & Fishing",2010,0.8676183068688351,1.0094516978142005,10,12m
"Agriculture, Forestry & Fishing",2011,1.3365890108336937,0.9421555589225553,10,12m
"Agriculture, Forestry & Fishing",2012,1.1950599449254067,0.5509375738642802,7,12m
"Agriculture, Forestry & Fishing",2013,1.7579941935045345,0.8440052218841603,6,12m
"Agriculture, Forestry & Fishing",2014,1.501838682280266,1.402089232008722,7,12m
"Agriculture, Forestry & Fishing",2015,0.6433076221540093,1.3040249103410952,9,12m
"Agriculture, Forestry & Fishing",2016,1.2521336999885893,1.3490123111905752,10,12m
"Agriculture, Forestry & Fishing",2017,0.8475885837605224,1.9780543741796046,8,12m
"Agriculture, Forestry & Fishing",2018,0.6448582812001847,0.46726928083015856,7,12m
"Agriculture, Forestry & Fishing",2019,0.9650928700764388,1.023805893810596,9,12m
"Agriculture, Forestry & Fishing",2020,1.0115981785034065,1.4815512113616645,10,12m
"Agriculture, Forestry & Fishing",2021,1.419333510251211,1.280511484564963,9,12m
"Agriculture, Forestry & Fishing",2022,0.9718465292498129,0.7348174238414016,9,12m
"Agriculture, Forestry & Fishing",2023,1.339481572381523,0.6731865601721083,9,12m
Construction,1996,0.18338323582115726,1.7614331143032078,7,12m
Construction,1997,0.6979658792463088,1.437665045615912,8,12m
Construction,1998,1.043436761617052,0.7055193694263616,10,12m
Construction,1999,-0.11933056202979397,3.057192560799479,9,12m
Construction,2000,1.0135708809398774,1.7535513098684468,10,12m
Construction,2001,1.6039597475126466,1.889344054636604,9,12m
Construction,2002,0.8974294775739129,0.8798450856450027,10,12m
Construction,2003,1.7472342701221333,0.986098916789418,10,12m
Construction,2004,1.5024734008444651,1.3164389826979759,9,12m
Construction,2005,2.1103327727771335,1.1114176920524224,10,12m
Construction,2006,1.6485756992143727,1.3782339582344876,10,12m
Construction,2007,1.7104168370684865,1.3578023896719023,10,12m
Construction,2008,0.5007151271653449,2.2457497465380247,10,12m
Construction,2009,2.0831813610366665,1.1269710030275872,10,12m
Construction,2010,1.3336166424630398,0.8157464195649587,10,12m
Construction,2011,1.3113901670821568,1.2950026953976064,10,12m
Construction,2012,1.494883373966236,1.3980335138389774,10,12m
Construction,2013,1.6959600362858882,0.9184541792638574,10,12m
Construction,2014,1.7628712512801994,1.4758971058107682,10,12m
Construction,2015,0.762419740243084,1.1240433797468947,10,12m
Construction,2016,2.674578846581848,1.3142975519838922,10,12m
Construction,2017,1.93581428707982,1.9437538245562564,10,12m
Construction,2018,0.8697424112470868,0.49411124691039143,10,12m
Construction,2019,0.675103049735396,2.0017546474632684,9,12m
Construction,2020,1.7996205387140962,0.9364809354664215,9,12m
Construction,2021,1.0285079128681398,1.209909247446708,10,12m
Construction,2022,1.0947059765452052,0.3100461168302627,10,12m
Construction,2023,1.5047880806423408,1.488919684799977,10,12m
"Finance, Insurance & Real Estate",1996,0.705260467881183,1.0677777676365163,9,12m
