year,tvol_36m,svol_36m,ivol_36m
1996,,,
1997,0.15468143074356133,0.03581367649650193,0.14850520753624136
1998,0.2846679216953995,0.06857780835787562,0.2660523673763366
1999,0.20602030222378817,0.04777013063403436,0.1978139908185977
2000,0.2082691282979579,0.04199864962988777,0.20301190874254502
2001,0.15900369121863916,0.0574684459582112,0.14496499825062512
2002,0.1510854610907557,0.04199446459295631,0.14090132175829848
2003,0.143409714044564,0.04507568881811486,0.13488140305472138
2004,0.13678050826760915,0.052932641811694194,0.12348684828059711
2005,0.14018052663053077,0.037653253856538574,0.1335149393758936
2006,0.12025998840857409,0.03920447706789095,0.11068181812786126
2007,0.12277823500147174,0.038608437907047,0.11437080265729052
2008,0.13148883774192222,0.04435546006609869,0.12270655290365624
2009,0.27969799070152207,0.0985731960028133,0.25828859150167016
2010,0.22410977324310005,0.09184883065097521,0.19975831025077212
2011,0.17240339718604547,0.0809094703423055,0.14428588834654454
2012,0.09066226968417966,0.049284840785860186,0.07429771126035482
2013,0.10134358055335524,0.060063561793715595,0.07952715647731831
2014,0.09287605813731731,0.02691780285671438,0.08613554492424381
2015,0.13469298919263722,0.0460792249232533,0.12092705325789548
2016,0.12276046560296014,0.053398941971614676,0.10910300379674095
2017,0.09058551619861274,0.03687972144109853,0.08154430440424917
2018,0.10254674496603973,0.031751310817848134,0.09437525053020077
2019,0.11186697766958509,0.03372846959905777,0.10182405251144384
2020,0.1464843001465575,0.06549011802030633,0.1268699186058628
2021,0.20694708944763834,0.11456710559900371,0.16832659357078147
2022,0.15475973282235628,0.09067606344367132,0.121289537325031
2023,0.13986748825904102,0.06705743723552267,0.11979510123071499
