Date,Open,High,Low,Close,Adj Close,Change,Pct Change,Volume,Day VWAP,IV30,IV30 Change,IV30 Pct Change,Call Option Volume,Put Option Volume,Call Open Interest,Put Open Interest
2/6/2025,189.43,192.1,188.72,191.6,191.6,0.27,0.0014,29297442,190.6785,24.61,-1.26,-0.0487,359409,120198,1485726,1122431
2/5/2025,191.01,192.75,188.03,191.33,191.33,-15.05,-0.0729,63681271,190.0891,25.87,-12.06,-0.318,872097,313146,1249800,1088977
2/4/2025,203.34,207.05,202.81,206.38,206.38,5.15,0.0256,43856425,205.2709,37.93,1.32,0.0361,439680,236566,1139178,1001525
2/3/2025,200.51,203.75,200.1,201.23,201.23,-2.79,-0.0137,27838348,202.1555,36.61,0.24,0.0066,142683,63944,1107362,983001
1/31/2025,201.94,205.48,201.8,204.02,204.02,3.15,0.0157,32041952,204.3444,36.37,0.29,0.008,347428,162546,1191584,1016014
1/30/2025,198,201.4,197.67,200.87,200.87,5.46,0.0279,24354684,200.0673,36.08,-1.66,-0.044,293277,102486,1192874,1002919
1/29/2025,195.5,196.785,193.43,195.41,195.41,0.11,0.0006,18218256,195.0045,37.74,0.62,0.0167,228099,56641,1177062,989790
1/28/2025,192.54,195.48,190.68,195.3,195.3,3.49,0.0182,24157929,194.2081,37.12,-0.02,-0.0005,214848,61794,1142185,975390
1/27/2025,192.39,196.88,190.73,191.81,191.81,-8.4,-0.042,41728893,193.2902,37.14,1.63,0.0459,290197,110259,1123363,951338
1/24/2025,198,200.9,198,200.21,200.21,2.23,0.0113,21491243,199.6904,35.51,0.69,0.0198,354094,110443,1175076,984794
1/23/2025,198.37,200.3,195.2,197.98,197.98,-0.39,-0.002,26951357,197.8741,34.82,1.06,0.0314,267816,142614,1139191,953987
1/22/2025,199.13,200.48,197.53,198.37,198.37,0.32,0.0016,26200617,199.062,33.76,0.13,0.0039,207767,63476,1110737,938819
1/21/2025,198.86,202.29,197.87,198.05,198.05,2.05,0.0105,29971292,199.3354,33.63,0.16,0.0048,270833,69025,1057624,927060
1/17/2025,196.72,197.23,193.75,196,196,3.09,0.016,27735089,195.6702,33.47,0.18,0.0054,248726,120812,1475163,1279438
1/16/2025,194.17,195.48,192.81,192.91,192.91,-2.64,-0.0135,17815432,194.1792,33.29,0,0,106301,61256,1461921,1269613
1/15/2025,193,196.36,191.86,195.55,195.55,5.89,0.0311,21775969,194.5771,33.29,-1.16,-0.0337,198993,69516,1425047,1259503
