path,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49,t50,t51,t52,t53,t54,t55,t56,t57,t58,t59,t60,t61,t62,t63,t64,t65,t66,t67,t68,t69,t70,t71,t72,t73,t74,t75,t76,t77,t78,t79,t80,t81,t82,t83,t84,t85,t86,t87,t88,t89,t90,t91,t92,t93,t94,t95,t96,t97,t98,t99,t100
path_708,0.428711,0.386739,0.356993,0.387929,0.411579,0.381275,0.410202,0.496341,0.477421,0.480232,0.437775,0.434727,0.394159,0.38117,0.344328,0.319542,0.349351,0.298275,0.322269,0.269588,0.289686,0.298962,0.279936,0.266791,0.3001,0.260773,0.251986,0.301447,0.323763,0.294509,0.245182,0.31634,0.319585,0.280996,0.306515,0.320683,0.273575,0.22994,0.204606,0.243148,0.191499,0.123087,0.101973,0.0944343,0.0674913,0.0750924,0.0809202,0.0977612,0.096699,0.114156,0.145894,0.168771,0.230883,0.26483,0.162488,0.173165,0.169476,0.213319,0.225209,0.206935,0.179322,0.203261,0.188785,0.150276,0.18943,0.246261,0.320639,0.283866,0.258125,0.253568,0.317602,0.299291,0.228388,0.182622,0.108366,0.189445,0.258466,0.245152,0.230566,0.32493,0.387498,0.324236,0.245712,0.210769,0.269197,0.111932,0.0894573,0.0723593,0.0913267,0.0590405,0.117727,0.11979,0.17724,0.127499,0.0572295,0.0304048,0.0126532,0.0337986,0.0211889,0.00295256,0
path_709,0.428711,0.406725,0.386605,0.42737,0.459652,0.466684,0.429926,0.402047,0.382303,0.413272,0.434359,0.489604,0.540384,0.504126,0.542734,0.495463,0.576139,0.589067,0.626486,0.676563,0.723283,0.731947,0.700004,0.623563,0.607345,0.58492,0.55399,0.555997,0.613959,0.65807,0.718864,0.70312,0.718168,0.694457,0.681031,0.641654,0.7035,0.696814,0.690093,0.740496,0.826579,0.800574,0.795499,0.840807,0.813591,0.804299,0.788682,0.788275,0.817115,0.825264,0.80324,0.76898,0.807276,0.858263,0.838098,0.811941,0.816831,0.863594,0.834849,0.875733,0.856605,0.840637,0.860408,0.842505,0.829759,0.877669,0.883358,0.846804,0.864371,0.934163,0.961479,0.930154,0.905063,0.909467,0.914366,0.922054,0.944188,0.925841,0.912829,0.945795,0.949312,0.964545,0.95799,0.946192,0.935573,0.969928,0.985725,0.977057,0.983569,0.9629,0.952403,0.954327,0.975213,0.990628,0.994367,0.998964,0.998675,0.996837,0.999988,1,1
path_710,0.428711,0.446798,0.471787,0.503196,0.480173,0.502978,0.480746,0.433513,0.491816,0.457855,0.427207,0.455959,0.467668,0.437886,0.426531,0.464836,0.521432,0.520308,0.446461,0.456608,0.429176,0.461981,0.491225,0.484582,0.471198,0.432319,0.424646,0.365344,0.352602,0.322339,0.317131,0.343925,0.3554,0.356545,0.279455,0.264058,0.327213,0.288392,0.222699,0.242969,0.253488,0.259588,0.23157,0.229363,0.26804,0.282021,0.304958,0.22977,0.232882,0.134323,0.138335,0.107847,0.107492,0.111299,0.102776,0.0849008,0.142018,0.157769,0.144704,0.180567,0.127415,0.126345,0.130164,0.100285,0.126214,0.118028,0.0936777,0.115529,0.0805544,0.0811805,0.0606643,0.0506851,0.0400545,0.0280911,0.0165234,0.0121562,0.0076899,0.004023,0.00231958,0.0013721,0.000296241,7.64591e-05,7.98901e-05,9.03878e-06,1.96987e-05,1.30373e-06,6.89149e-08,1.28412e-08,1.85155e-08,2.12527e-10,5.26308e-10,8.98859e-12,1.65776e-10,5.42721e-12,4.91274e-14,2.22045e-16,0,0,0,0,0
path_711,0.428711,0.43327,0.490397,0.518192,0.494039,0.568791,0.561567,0.574144,0.535025,0.527447,0.484364,0.484091,0.452942,0.417557,0.400259,0.400564,0.357355,0.38223,0.365928,0.375382,0.329503,0.399015,0.410265,0.428635,0.436225,0.443022,0.373307,0.307908,0.259733,0.271777,0.261804,0.325939,0.352466,0.317068,0.292192,0.266817,0.231638,0.271036,0.241298,0.248911,0.320906,0.310618,0.320434,0.367841,0.370848,0.340195,0.291877,0.232083,0.233996,0.17958,0.179822,0.174894,0.180014,0.183225,0.18142,0.161503,0.189523,0.161435,0.155126,0.15248,0.15129,0.177454,0.134295,0.16586,0.179635,0.21138,0.228387,0.208047,0.165681,0.191159,0.142234,0.123968,0.113318,0.109813,0.113099,0.177658,0.17065,0.129826,0.0877452,0.0702871,0.0817648,0.0264815,0.0127302,0.0117543,0.00660534,0.00513991,0.00295413,0.00366523,0.00109488,0.00182403,0.000611702,0.000542533,0.000363957,0.000106467,5.27438e-05,7.03991e-06,6.69612e-07,1.42284e-10,1.15385e-12,0,0
path_712,0.428711,0.418755,0.423464,0.434986,0.443888,0.423746,0.448463,0.48235,0.527179,0.593854,0.580565,0.604045,0.576718,0.545362,0.545204,0.552371,0.639775,0.643649,0.626952,0.58888,0.617435,0.636213,0.631619,0.634237,0.65175,0.629381,0.544959,0.588789,0.61951,0.60081,0.600513,0.637352,0.64195,0.745576,0.73651,0.765228,0.698441,0.641463,0.619961,0.612977,0.625063,0.596243,0.574301,0.582214,0.57177,0.641877,0.66061,0.655818,0.709947,0.677859,0.598315,0.687165,0.792159,0.77828,0.792577,0.781376,0.74061,0.696327,0.705837,0.650441,0.561796,0.549558,0.639914,0.657853,0.673311,0.59807,0.612877,0.629942,0.726791,0.718239,0.690885,0.653745,0.617149,0.373572,0.395064,0.315665,0.267235,0.15981,0.160629,0.12551,0.0624804,0.116528,0.133189,0.132002,0.169936,0.175481,0.259676,0.251652,0.383965,0.216959,0.437983,0.283215,0.32864,0.376108,0.441789,0.534253,0.699327,0.846108,0.961525,0.991963,1
path_713,0.428711,0.410207,0.499198,0.541688,0.522002,0.575257,0.575562,0.603848,0.576975,0.604449,0.574775,0.584458,0.571143,0.568186,0.549106,0.579951,0.618424,0.70039,0.713235,0.695021,0.722246,0.726057,0.719888,0.757718,0.799604,0.825928,0.814936,0.791103,0.785862,0.752848,0.777415,0.798578,0.807673,0.794722,0.783333,0.843172,0.843096,0.858534,0.843455,0.868173,0.857589,0.860978,0.831527,0.783629,0.731496,0.722351,0.718531,0.670094,0.63845,0.618309,0.601303,0.679399,0.740589,0.752132,0.743132,0.730356,0.752002,0.76506,0.738702,0.693173,0.698996,0.768153,0.805193,0.878731,0.904163,0.924805,0.956762,0.954466,0.920751,0.935564,0.959734,0.935413,0.95373,0.960048,0.972684,0.981032,0.988104,0.992111,0.997574,0.994637,0.996716,0.998111,0.999325,0.998917,0.998802,0.999763,0.999793,0.999826,0.999995,1,0.999999,1,1,1,1,1,1,1,1,1,1
path_714,0.428711,0.407335,0.400249,0.39571,0.376386,0.422217,0.422355,0.447846,0.531902,0.468957,0.473541,0.413954,0.39529,0.420682,0.36529,0.391148,0.375506,0.364944,0.384345,0.370395,0.327838,0.293252,0.223903,0.21859,0.307361,0.267293,0.313943,0.292134,0.325839,0.281729,0.281083,0.288516,0.318583,0.33196,0.373909,0.3834,0.477533,0.503963,0.514983,0.490469,0.618836,0.608079,0.550113,0.624081,0.601442,0.572653,0.58777,0.601558,0.581735,0.425577,0.359474,0.324793,0.360066,0.417595,0.562603,0.520454,0.443202,0.527142,0.536313,0.44225,0.414252,0.535535,0.655194,0.66966,0.593472,0.639862,0.508129,0.559971,0.685676,0.667892,0.640567,0.700165,0.797926,0.830305,0.814836,0.79102,0.789867,0.790849,0.8891,0.938071,0.948438,0.961844,0.980688,0.982065,0.977864,0.979597,0.98362,0.982564,0.990014,0.9848,0.977229,0.995457,0.998927,0.999314,0.999804,0.998948,0.999831,0.999999,1,1,1
path_715,0.428711,0.404461,0.411971,0.443404,0.463066,0.456897,0.476622,0.446646,0.463203,0.525315,0.557413,0.556533,0.58292,0.565791,0.478577,0.481125,0.542432,0.495736,0.477307,0.486759,0.538708,0.440814,0.489802,0.442417,0.472194,0.458906,0.475008,0.496862,0.48315,0.44033,0.430011,0.437199,0.425457,0.406356,0.393721,0.464268,0.416138,0.490911,0.459458,0.532771,0.586189,0.5858,0.54203,0.559312,0.55815,0.540404,0.534148,0.505465,0.505461,0.545671,0.518317,0.396606,0.410593,0.459693,0.52484,0.556332,0.531198,0.494505,0.432082,0.370827,0.372848,0.325389,0.410548,0.281493,0.342589,0.425035,0.431008,0.417017,0.343531,0.349485,0.287665,0.227429,0.216427,0.219162,0.321547,0.263944,0.421293,0.289179,0.262123,0.369284,0.183478,0.180109,0.116078,0.167736,0.0867538,0.0900138,0.0702179,0.104753,0.086635,0.057321,0.114673,0.0785313,0.11014,0.0482377,0.0796606,0.0469467,0.035022,0.00417225,0.00461954,0.000473649,0
path_716,0.428711,0.400514,0.419978,0.535268,0.561005,0.494261,0.493708,0.52329,0.527957,0.545078,0.531696,0.567297,0.54327,0.563377,0.581906,0.581093,0.61173,0.650493,0.654918,0.65382,0.678291,0.606713,0.58552,0.576796,0.587418,0.541644,0.559348,0.611516,0.663645,0.676527,0.708381,0.794229,0.768413,0.76907,0.804409,0.803246,0.75953,0.785757,0.782279,0.695268,0.688455,0.73305,0.691241,0.64322,0.599923,0.607867,0.641641,0.692038,0.635722,0.655724,0.606794,0.59752,0.650124,0.562416,0.583816,0.578966,0.628451,0.543859,0.619153,0.630661,0.56224,0.557485,0.484166,0.46366,0.421122,0.338876,0.301394,0.318719,0.256969,0.284826,0.199047,0.251113,0.192403,0.237613,0.178554,0.178912,0.16607,0.178481,0.222407,0.193007,0.1824,0.277274,0.147399,0.182906,0.121099,0.0489176,0.0443798,0.0479767,0.0239555,0.00907801,0.00241376,0.00144238,0.00147986,0.000486564,0.000825221,5.48058e-05,1.25004e-07,1.92538e-10,3.59712e-14,0,0
path_717,0.428711,0.406314,0.423182,0.394175,0.366753,0.345002,0.305779,0.419369,0.46327,0.466646,0.480153,0.441155,0.428796,0.427983,0.466582,0.546813,0.498845,0.525579,0.607426,0.571089,0.521208,0.604271,0.556977,0.529641,0.47602,0.468801,0.499446,0.525792,0.45933,0.421994,0.504551,0.557888,0.52476,0.471037,0.507267,0.462507,0.563762,0.496325,0.523098,0.471299,0.512566,0.471093,0.445102,0.390041,0.300229,0.240223,0.228323,0.227039,0.158932,0.170209,0.256502,0.256201,0.299492,0.291003,0.294294,0.237334,0.224362,0.175345,0.185356,0.11043,0.090033,0.0594378,0.0550886,0.0543763,0.05516,0.0281231,0.0212829,0.0353709,0.0371945,0.0456305,0.0586031,0.0630623,0.0476844,0.0273868,0.0111827,0.00525988,0.00802987,0.00672825,0.00574621,0.00634074,0.00167331,0.00552056,0.0106257,0.0113059,0.0152704,0.0179942,0.0178507,0.0584926,0.0600748,0.0868908,0.114775,0.0233918,0.0163893,0.00523224,5.20401e-05,3.20961e-05,3.46404e-05,9.05243e-06,4.91933e-08,4.15066e-09,0
