path,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49,t50,t51,t52,t53,t54,t55,t56,t57,t58,t59,t60,t61,t62,t63,t64,t65,t66,t67,t68,t69,t70,t71,t72,t73,t74,t75,t76,t77,t78,t79,t80,t81,t82,t83,t84,t85,t86,t87,t88,t89,t90,t91,t92,t93,t94,t95,t96,t97,t98,t99,t100
path_332,100,101.838,100.802,100.474,100.704,100.149,99.006,99.9802,99.7667,98.4062,98.4104,96.7626,96.0059,99.3561,99.165,99.6673,103.495,104.969,102.377,106.648,107.743,107.059,107.189,108.545,106.921,106.515,106.221,109.837,109.011,110.185,109.507,105.883,106.637,103.689,107.24,106.426,104.989,104.633,103.497,105.659,104.437,103.466,104.407,103.525,102.227,100.392,99.0302,98.4538,99.8701,99.9772,100.587,101.972,104.25,107.955,108.558,108.259,107.115,108.506,109.596,109.549,108.107,112.009,112.057,113.92,115.08,113.787,113.127,114.082,113.36,110.948,113.47,115.016,118.537,120.24,122.092,121.865,121.127,120.678,121.942,120.729,121.169,120.921,122.358,120.845,120.115,117.741,116.569,115.525,116.279,118.454,118.388,118.115,117.91,118.445,118.364,119.915,119.077,118.109,118.353,120.434,119.819
path_333,100,100.648,99.6571,98.0525,98.7748,98.3002,96.1733,94.0581,95.2232,96.2084,94.9507,96.4447,94.901,93.7415,97.5987,98.094,100.32,102.783,101.564,103.424,104.073,103.912,107.688,105.889,106.79,106.667,105.926,102.566,102.905,103.909,106.39,109.759,110.633,110.388,113.148,114.233,113.259,113.013,115.716,118.762,120.387,117.517,119.303,122.959,120.76,121.377,121.589,124.272,125.359,124.586,123.125,119.337,117.54,116.015,116.749,115.689,117.402,119.306,116.902,116.618,117.557,118.644,118.457,119.192,122.321,121.486,122.366,116.371,115.965,114.115,112.502,111.861,110.032,108.276,107.833,108.827,110.936,112.038,112.399,109.466,106.655,110.591,112.664,116.589,116.696,115.457,115.469,111.77,113.455,112.048,111.063,110.235,108.255,110.441,110.938,108.296,110.031,112.142,116.118,118.524,118.607
path_334,100,101.299,99.9006,99.4442,96.5747,95.9135,97.9286,97.043,96.4428,94.981,94.7052,93.0049,95.2733,96.5122,96.9961,94.8837,93.8378,93.2837,92.4767,92.2772,93.5812,91.6139,91.6252,93.6529,93.3857,92.6832,94.2464,94.0541,95.2549,94.838,95.5747,94.1177,92.7548,89.11,89.8332,89.5137,90.9794,92.3769,91.4882,92.14,88.3581,86.5446,88.7345,89.3536,88.7468,89.0865,86.995,87.4355,91.0837,89.442,89.8497,86.2157,87.9811,89.2202,89.1781,86.5002,83.2865,85.0475,83.1685,84.3151,83.5116,81.4398,82.3607,82.0831,81.6062,81.8957,82.5405,84.0199,83.9433,82.1251,83.5788,83.6262,83.0658,83.7702,83.885,84.6539,85.1419,84.7842,85.7142,87.5558,87.1162,88.1074,87.4535,87.9063,86.9112,87.779,88.3305,87.0083,89.1417,90.05,90.2618,89.8465,90.7657,90.7473,91.2865,91.1851,92.2229,92.6109,92.5289,91.4765,90.7937
path_335,100,99.8039,97.823,97.3922,96.3199,95.9419,97.7706,98.3526,100.257,98.7249,98.3122,97.7226,97.5628,100.531,102.363,101.227,102.833,102.488,102.582,102.449,101.546,104.425,104.225,105.548,106.086,107.318,109.049,108.444,110.724,114.081,115.764,115.178,113.935,117.734,117.005,117.211,115.344,114.396,115.263,113.848,112.157,111.259,110.847,109.975,112.42,113.105,112.198,106.908,107.39,106.578,105.19,106.747,105.13,106.83,104.44,104.577,101.281,100.38,102.8,104.425,104.471,104.961,106.574,106.273,105.988,104.361,102.191,102.625,102.69,103.923,108.067,108.917,108.351,108.499,105.642,106.768,107.893,108.839,108.739,109.404,108.967,107.125,105.614,105.326,107.375,106.113,106.837,105.966,104.178,100.975,101.637,102.702,103.034,103.422,102.055,100.729,100.988,100.975,100.758,100.236,98.9278
path_336,100,100.445,100.418,98.9613,101.849,100.48,102.574,104.024,104.029,100.385,101.067,101.573,103.269,103.073,102.215,103.137,103.817,102.705,103.574,102.266,102.255,101.886,103.087,102.294,102.983,102.692,102.835,104.561,102.661,100.71,101.746,100.84,99.6023,100.93,102.977,100.543,100.883,101.15,101.862,103.936,103.402,105.281,104.971,103.625,103.057,102.941,101.021,99.5762,99.6518,101.455,100.073,102.902,104.076,106.819,104.238,102.186,100.981,98.1785,98.5605,98.8266,100.474,102.022,100.947,101.01,100.811,99.859,100.823,100.632,99.0415,98.4049,96.4148,95.9676,94.528,94.0479,92.784,91.752,93.2022,90.6859,91.2241,90.0966,89.6543,88.9131,88.9987,88.5291,89.706,86.9094,88.4136,88.6016,88.6632,88.6722,87.4303,88.8922,89.5528,88.9651,88.588,88.6625,87.8643,88.8784,87.6324,87.5538,85.4307
path_337,100,99.9355,97.8729,98.1564,99.3767,100.472,99.5656,99.4724,95.4348,96.1616,94.9627,94.3021,90.7558,92.0178,91.1318,90.833,89.7548,89.7303,89.8347,89.9265,89.8744,93.1835,93.1907,92.086,89.6217,91.1562,91.0989,92.5528,93.9104,95.7044,95.6611,97.0085,96.1381,96.4487,96.7343,94.1775,92.3156,92.193,91.795,93.1019,91.5386,92.3496,91.2104,92.3068,91.9033,89.699,88.0906,89.2464,89.9876,88.7964,89.2293,90.01,90.9466,91.5763,90.0109,90.1617,90.3647,91.5082,89.6147,88.7452,88.0247,87.7408,88.3566,90.4395,88.4974,88.4774,88.7919,88.8201,88.7854,90.3438,90.484,90.0945,92.2902,93.1807,94.1503,95.9932,97.0112,97.6358,98.9149,99.3798,98.4355,99.1354,97.5821,95.4928,95.9648,94.8989,94.2334,93.8217,94.836,95.4881,93.4555,93.6402,93.9424,94.7922,93.2272,92.9904,92.8388,91.1406,89.4245,87.8803,93.5303
path_338,100,99.4251,96.3035,94.9806,94.7144,94.5517,93.3876,91.4317,91.9467,91.9521,91.4093,90.4691,90.1492,92.5554,91.1342,92.5715,89.3529,89.6871,88.1526,86.78,86.8905,86.3756,86.1312,87.8311,87.8755,86.8653,88.7693,90.1602,90.6423,91.4788,90.8872,89.3353,92.6297,91.2312,91.9043,91.2509,90.3968,93.2281,93.8648,95.3212,94.4692,93.8492,92.5812,93.9436,95.8425,94.9736,94.3898,93.4652,94.1403,93.5764,92.9051,92.0939,91.8528,94.0505,91.7533,91.6396,92.7965,94.5145,93.4688,92.5608,93.228,93.3502,94.0801,95.3272,95.5299,96.7843,97.5315,98.4076,101.192,103.052,106.806,104.388,104.009,101.998,103.888,105.042,105.299,104.306,102.63,105.906,104.218,103.089,104.253,102.891,100.522,99.6877,98.75,96.666,97.8433,95.2048,96.7974,95.788,95.6872,97.8107,99.3069,99.9848,101.228,103.319,102.908,103.617,102.064
path_339,100,101.409,103.101,103.898,104.744,104.542,105.976,109.346,111.75,111.093,108.028,106.973,105.185,105.949,106.157,107.196,106.936,106.29,105.117,104.6,105.639,109.289,107.18,107.455,109.005,109.707,111.213,111.481,108.835,109.031,107.85,109.429,110.112,108.546,106.943,109.356,108.581,109.475,108.882,108.24,108.157,109.474,109.707,107.722,108.839,111.575,112.154,114.105,114.644,114.94,118.027,118.809,118.708,118.431,120.778,121.45,119.365,120.101,121.816,121.755,122.579,124.977,124.543,124.727,121.405,121.355,119.569,120.501,120.995,123.586,123.863,121.894,122.1,122.736,124.689,126.091,124.278,126.066,125.012,124.786,122.43,120.473,121.273,123.2,124.192,124.946,124.571,130.112,128.561,129.22,129.243,127.965,127.456,122.894,124.717,125.335,121.923,123.508,122.831,119.764,118.836
path_340,100,99.6025,99.5107,100.714,99.0811,97.6177,98.1564,98.6953,96.4336,95.0475,93.6856,93.7612,93.614,95.1361,95.8733,96.7405,96.07,97.8101,97.56,98.3478,97.0979,95.7783,94.5914,91.6285,91.0036,89.8133,91.176,89.8548,89.2361,89.6062,90.9152,91.1576,91.9308,92.4033,92.6476,91.0557,92.385,90.9301,90.1534,90.767,91.605,88.1343,89.1078,85.953,85.3975,85.5696,88.1493,87.9933,86.9156,89.571,89.5539,89.8142,89.5599,92.4819,91.6609,88.9868,91.1439,91.7737,92.9785,91.5949,90.5303,91.4255,88.6589,89.0844,87.2724,85.7106,84.3133,85.9364,86.0093,85.9393,84.9511,84.8568,84.9967,85.0249,85.4329,87.149,84.8829,84.6158,85.1317,84.6684,83.4006,81.7396,82.8383,82.738,81.6975,80.5094,78.5756,75.712,75.4021,73.9185,73.6553,73.0442,74.374,74.8173,75.667,76.0787,75.1794,75.2424,77.2161,77.67,77.2591
path_341,100,99.449,100.191,98.8536,94.5983,94.5726,92.7264,93.423,95.1141,95.5014,94.7904,95.5504,95.5298,97.4452,98.3094,95.671,95.4771,95.5104,93.6166,94.6564,94.2789,94.3386,95.8441,96.6733,94.8647,95.7912,96.2061,100.667,99.5743,99.7242,97.1251,98.3599,99.4411,100.392,100.415,100.588,101.988,102.994,103.361,105.484,105.527,105.046,106.658,107.926,106.765,105.818,105.965,107.021,106.254,108.621,107.866,107.058,105.458,103.533,102.09,101.314,100.105,96.8775,96.2703,96.5417,94.8166,96.3353,95.3218,96.1909,95.847,97.1964,96.6572,96.822,93.4603,91.4236,93.5802,94.1463,95.2356,95.7483,93.7039,93.5822,94.0758,95.5271,97.2048,99.3036,100.548,99.7613,98.5479,97.7947,96.8296,96.6384,95.9276,94.365,93.8226,92.5916,93.7219,94.8848,97.1878,97.1667,95.4526,97.325,95.2638,95.2237,95.2391,94.9981,95.3254
