DATE,AUS,AUT,BEL,CAN,CHE,DEU,DNK,ESP,FIN,FRA,GBR,GRC,HKG,IRL,ISR,ITA,JPN,NLD,NOR,NZL,PRT,SGP,SWE,USA,Global,Global Ex USA,Europe,North America,Pacific
06/30/1930,,,,,,,,,,,,,,,,,,,,,,,,0.598506311236%,,,,,
07/31/1930,,,,,,,,,,,,,,,,,,,,,,,,-3.13321359368%,,,,,
08/31/1930,,,,,,,,,,,,,,,,,,,,,,,,-1.47854078202%,,,,,
09/30/1930,,,,,,,,,,,,,,,,,,,,,,,,-5.35376295833%,,,,,
10/31/1930,,,,,,,,,,,,,,,,,,,,,,,,-1.06453408339%,,,,,
11/30/1930,,,,,,,,,,,,,,,,,,,,,,,,-1.54596650432%,,,,,
12/31/1930,,,,,,,,,,,,,,,,,,,,,,,,-7.91733696207%,,,,,
01/31/1931,,,,,,,,,,,,,,,,,,,,,,,,13.9879793897%,,,,,
02/28/1931,,,,,,,,,,,,,,,,,,,,,,,,3.83100680992%,,,,,
03/31/1931,,,,,,,,,,,,,,,,,,,,,,,,-8.55341538324%,,,,,
04/30/1931,,,,,,,,,,,,,,,,,,,,,,,,-5.86591653108%,,,,,
05/31/1931,,,,,,,,,,,,,,,,,,,,,,,,-7.04028946995%,,,,,
06/30/1931,,,,,,,,,,,,,,,,,,,,,,,,14.8721365997%,,,,,
07/31/1931,,,,,,,,,,,,,,,,,,,,,,,,-3.18806174269%,,,,,
08/31/1931,,,,,,,,,,,,,,,,,,,,,,,,-3.05571960334%,,,,,
09/30/1931,,,,,,,,,,,,,,,,,,,,,,,,-2.27303410651%,,,,,
10/31/1931,,,,,,,,,,,,,,,,,,,,,,,,0.501605657038%,,,,,
11/30/1931,,,,,,,,,,,,,,,,,,,,,,,,-10.1882164426%,,,,,
12/31/1931,,,,,,,,,,,,,,,,,,,,,,,,-12.5929502261%,,,,,
01/31/1932,,,,,,,,,,,,,,,,,,,,,,,,14.0408771064%,,,,,
02/29/1932,,,,,,,,,,,,,,,,,,,,,,,,0.55338521384%,,,,,
03/31/1932,,,,,,,,,,,,,,,,,,,,,,,,-6.82611149069%,,,,,
04/30/1932,,,,,,,,,,,,,,,,,,,,,,,,-6.26018222115%,,,,,
05/31/1932,,,,,,,,,,,,,,,,,,,,,,,,-5.02538168928%,,,,,
06/30/1932,,,,,,,,,,,,,,,,,,,,,,,,1.25457983901%,,,,,
07/31/1932,,,,,,,,,,,,,,,,,,,,,,,,40.6965307037%,,,,,
08/31/1932,,,,,,,,,,,,,,,,,,,,,,,,49.8098618009%,,,,,
09/30/1932,,,,,,,,,,,,,,,,,,,,,,,,-4.19882764974%,,,,,
10/31/1932,,,,,,,,,,,,,,,,,,,,,,,,-7.30100472537%,,,,,
11/30/1932,,,,,,,,,,,,,,,,,,,,,,,,-5.54492532046%,,,,,
12/31/1932,,,,,,,,,,,,,,,,,,,,,,,,-7.75820106939%,,,,,
01/31/1933,,,,,,,,,,,,,,,,,,,,,,,,4.02654347708%,,,,,
02/28/1933,,,,,,,,,,,,,,,,,,,,,,,,-1.68764093483%,,,,,
03/31/1933,,,,,,,,,,,,,,,,,,,,,,,,11.638073083%,,,,,
04/30/1933,,,,,,,,,,,,,,,,,,,,,,,,19.6738833435%,,,,,
05/31/1933,,,,,,,,,,,,,,,,,,,,,,,,29.1417568334%,,,,,
06/30/1933,,,,,,,,,,,,,,,,,,,,,,,,9.88620207182%,,,,,
07/31/1933,,,,,,,,,,,,,,,,,,,,,,,,4.50735751674%,,,,,
08/31/1933,,,,,,,,,,,,,,,,,,,,,,,,0.402069201297%,,,,,
09/30/1933,,,,,,,,,,,,,,,,,,,,,,,,-9.93181169458%,,,,,
10/31/1933,,,,,,,,,,,,,,,,,,,,,,,,-3.55357001539%,,,,,
11/30/1933,,,,,,,,,,,,,,,,,,,,,,,,1.27714463721%,,,,,
12/31/1933,,,,,,,,,,,,,,,,,,,,,,,,-3.05594852117%,,,,,
01/31/1934,,,,,,,,,,,,,,,,,,,,,,,,16.5734567882%,,,,,
02/28/1934,,,,,,,,,,,,,,,,,,,,,,,,1.99243739237%,,,,,
03/31/1934,,,,,,,,,,,,,,,,,,,,,,,,-3.36370101638%,,,,,
04/30/1934,,,,,,,,,,,,,,,,,,,,,,,,-1.29970457897%,,,,,
05/31/1934,,,,,,,,,,,,,,,,,,,,,,,,-2.04346783488%,,,,,
06/30/1934,,,,,,,,,,,,,,,,,,,,,,,,-1.57496063717%,,,,,
07/31/1934,,,,,,,,,,,,,,,,,,,,,,,,-9.05185990249%,,,,,
08/31/1934,,,,,,,,,,,,,,,,,,,,,,,,2.20993580214%,,,,,
09/30/1934,,,,,,,,,,,,,,,,,,,,,,,,-0.610121629501%,,,,,
10/31/1934,,,,,,,,,,,,,,,,,,,,,,,,-5.26757970627%,,,,,
11/30/1934,,,,,,,,,,,,,,,,,,,,,,,,-4.35944018935%,,,,,
12/31/1934,,,,,,,,,,,,,,,,,,,,,,,,-3.62743848279%,,,,,
01/31/1935,,,,,,,,,,,,,,,,,,,,,,,,-1.07605416262%,,,,,
02/28/1935,,,,,,,,,,,,,,,,,,,,,,,,-10.6683575151%,,,,,
03/31/1935,,,,,,,,,,,,,,,,,,,,,,,,-2.79869736548%,,,,,
04/30/1935,,,,,,,,,,,,,,,,,,,,,,,,5.4427253225%,,,,,
05/31/1935,,,,,,,,,,,,,,,,,,,,,,,,2.14519658891%,,,,,
06/30/1935,,,,,,,,,,,,,,,,,,,,,,,,-5.90022808306%,,,,,
07/31/1935,,,,,,,,,,,,,,,,,,,,,,,,4.47385885667%,,,,,
08/31/1935,,,,,,,,,,,,,,,,,,,,,,,,8.72521904045%,,,,,
09/30/1935,,,,,,,,,,,,,,,,,,,,,,,,-5.84334497799%,,,,,
10/31/1935,,,,,,,,,,,,,,,,,,,,,,,,-0.213010210456%,,,,,
11/30/1935,,,,,,,,,,,,,,,,,,,,,,,,13.2391837431%,,,,,
12/31/1935,,,,,,,,,,,,,,,,,,,,,,,,0.561474886339%,,,,,
01/31/1936,,,,,,,,,,,,,,,,,,,,,,,,13.9994832625%,,,,,
02/29/1936,,,,,,,,,,,,,,,,,,,,,,,,4.05452379356%,,,,,
03/31/1936,,,,,,,,,,,,,,,,,,,,,,,,-5.0436030253%,,,,,
04/30/1936,,,,,,,,,,,,,,,,,,,,,,,,-3.53119130338%,,,,,
05/31/1936,,,,,,,,,,,,,,,,,,,,,,,,2.34205890115%,,,,,
06/30/1936,,,,,,,,,,,,,,,,,,,,,,,,-1.88332107366%,,,,,
07/31/1936,,,,,,,,,,,,,,,,,,,,,,,,2.27012635691%,,,,,
08/31/1936,,,,,,,,,,,,,,,,,,,,,,,,2.30926470147%,,,,,
09/30/1936,,,,,,,,,,,,,,,,,,,,,,,,0.916275797684%,,,,,
10/31/1936,,,,,,,,,,,,,,,,,,,,,,,,1.55448238941%,,,,,
11/30/1936,,,,,,,,,,,,,,,,,,,,,,,,0.131068662269%,,,,,
12/31/1936,,,,,,,,,,,,,,,,,,,,,,,,6.22394017784%,,,,,
01/31/1937,,,,,,,,,,,,,,,,,,,,,,,,2.04165339912%,,,,,
02/28/1937,,,,,,,,,,,,,,,,,,,,,,,,4.25585841232%,,,,,
03/31/1937,,,,,,,,,,,,,,,,,,,,,,,,3.60223806106%,,,,,
04/30/1937,,,,,,,,,,,,,,,,,,,,,,,,-1.94996668839%,,,,,
05/31/1937,,,,,,,,,,,,,,,,,,,,,,,,-3.87052466842%,,,,,
06/30/1937,,,,,,,,,,,,,,,,,,,,,,,,-4.51061966464%,,,,,
07/31/1937,,,,,,,,,,,,,,,,,,,,,,,,2.1862515431%,,,,,
08/31/1937,,,,,,,,,,,,,,,,,,,,,,,,-1.74459457608%,,,,,
09/30/1937,,,,,,,,,,,,,,,,,,,,,,,,-4.22591126956%,,,,,
10/31/1937,,,,,,,,,,,,,,,,,,,,,,,,-1.94485767997%,,,,,
11/30/1937,,,,,,,,,,,,,,,,,,,,,,,,0.125457442116%,,,,,
12/31/1937,,,,,,,,,,,,,,,,,,,,,,,,-4.14785260337%,,,,,
01/31/1938,,,,,,,,,,,,,,,,,,,,,,,,0.406493173151%,,,,,
02/28/1938,,,,,,,,,,,,,,,,,,,,,,,,0.652315065041%,,,,,
03/31/1938,,,,,,,,,,,,,,,,,,,,,,,,-7.40999255016%,,,,,
04/30/1938,,,,,,,,,,,,,,,,,,,,,,,,4.5122963089%,,,,,
05/31/1938,,,,,,,,,,,,,,,,,,,,,,,,-0.395274059542%,,,,,
06/30/1938,,,,,,,,,,,,,,,,,,,,,,,,7.04810338971%,,,,,
07/31/1938,,,,,,,,,,,,,,,,,,,,,,,,-0.443422233898%,,,,,
08/31/1938,,,,,,,,,,,,,,,,,,,,,,,,-7.06166707919%,,,,,
09/30/1938,,,,,,,,,,,,,,,,,,,,,,,,-0.476642668328%,,,,,
10/31/1938,,,,,,,,,,,,,,,,,,,,,,,,2.51690042454%,,,,,
11/30/1938,,,,,,,,,,,,,,,,,,,,,,,,-2.20332956321%,,,,,
12/31/1938,,,,,,,,,,,,,,,,,,,,,,,,-1.19720461915%,,,,,
01/31/1939,,,,,,,,,,,,,,,,,,,,,,,,-1.92272916137%,,,,,
02/28/1939,,,,,,,,,,,,,,,,,,,,,,,,1.26309567052%,,,,,
03/31/1939,,,,,,,,,,,,,,,,,,,,,,,,-3.39782249692%,,,,,
04/30/1939,,,,,,,,,,,,,,,,,,,,,,,,-0.144694252096%,,,,,
05/31/1939,,,,,,,,,,,,,,,,,,,,,,,,-1.65004948861%,,,,,
06/30/1939,,,,,,,,,,,,,,,,,,,,,,,,-4.32367932256%,,,,,
07/31/1939,,,,,,,,,,,,,,,,,,,,,,,,-0.146946087817%,,,,,
08/31/1939,,,,,,,,,,,,,,,,,,,,,,,,-1.64938088102%,,,,,
09/30/1939,,,,,,,,,,,,,,,,,,,,,,,,32.9604794931%,,,,,
10/31/1939,,,,,,,,,,,,,,,,,,,,,,,,-4.8653093225%,,,,,
11/30/1939,,,,,,,,,,,,,,,,,,,,,,,,-8.28374706535%,,,,,
12/31/1939,,,,,,,,,,,,,,,,,,,,,,,,-3.57371183611%,,,,,
01/31/1940,,,,,,,,,,,,,,,,,,,,,,,,-2.06815191429%,,,,,
02/29/1940,,,,,,,,,,,,,,,,,,,,,,,,-0.665536823954%,,,,,
03/31/1940,,,,,,,,,,,,,,,,,,,,,,,,-0.554731303299%,,,,,
04/30/1940,,,,,,,,,,,,,,,,,,,,,,,,1.18329185526%,,,,,
05/31/1940,,,,,,,,,,,,,,,,,,,,,,,,-4.11271482407%,,,,,
06/30/1940,,,,,,,,,,,,,,,,,,,,,,,,3.40078412407%,,,,,
07/31/1940,,,,,,,,,,,,,,,,,,,,,,,,-2.17384890406%,,,,,
08/31/1940,,,,,,,,,,,,,,,,,,,,,,,,-0.20466322235%,,,,,
09/30/1940,,,,,,,,,,,,,,,,,,,,,,,,-1.98203046711%,,,,,
10/31/1940,,,,,,,,,,,,,,,,,,,,,,,,5.22076097355%,,,,,
11/30/1940,,,,,,,,,,,,,,,,,,,,,,,,-1.05766452091%,,,,,
12/31/1940,,,,,,,,,,,,,,,,,,,,,,,,-0.609381315539%,,,,,
01/31/1941,,,,,,,,,,,,,,,,,,,,,,,,4.95719909112%,,,,,
02/28/1941,,,,,,,,,,,,,,,,,,,,,,,,0.0197700644806%,,,,,
03/31/1941,,,,,,,,,,,,,,,,,,,,,,,,3.14478280282%,,,,,
04/30/1941,,,,,,,,,,,,,,,,,,,,,,,,1.64899627992%,,,,,
05/31/1941,,,,,,,,,,,,,,,,,,,,,,,,-0.290546146495%,,,,,
06/30/1941,,,,,,,,,,,,,,,,,,,,,,,,0.212943725875%,,,,,
07/31/1941,,,,,,,,,,,,,,,,,,,,,,,,9.56340984662%,,,,,
08/31/1941,,,,,,,,,,,,,,,,,,,,,,,,-0.450951239472%,,,,,
09/30/1941,,,,,,,,,,,,,,,,,,,,,,,,-2.09633364825%,,,,,
10/31/1941,,,,,,,,,,,,,,,,,,,,,,,,-1.21502895524%,,,,,
11/30/1941,,,,,,,,,,,,,,,,,,,,,,,,-2.29656185562%,,,,,
12/31/1941,,,,,,,,,,,,,,,,,,,,,,,,-5.23542657121%,,,,,
01/31/1942,,,,,,,,,,,,,,,,,,,,,,,,14.2563249866%,,,,,
02/28/1942,,,,,,,,,,,,,,,,,,,,,,,,-0.147826887735%,,,,,
03/31/1942,,,,,,,,,,,,,,,,,,,,,,,,-2.37058847021%,,,,,
04/30/1942,,,,,,,,,,,,,,,,,,,,,,,,0.124759228507%,,,,,
05/31/1942,,,,,,,,,,,,,,,,,,,,,,,,-2.45395458195%,,,,,
06/30/1942,,,,,,,,,,,,,,,,,,,,,,,,-0.678293188485%,,,,,
07/31/1942,,,,,,,,,,,,,,,,,,,,,,,,2.88685195563%,,,,,
08/31/1942,,,,,,,,,,,,,,,,,,,,,,,,1.12730641295%,,,,,
09/30/1942,,,,,,,,,,,,,,,,,,,,,,,,2.1632562145%,,,,,
10/31/1942,,,,,,,,,,,,,,,,,,,,,,,,8.14438885572%,,,,,
11/30/1942,,,,,,,,,,,,,,,,,,,,,,,,-4.72128733885%,,,,,
12/31/1942,,,,,,,,,,,,,,,,,,,,,,,,-0.396694069828%,,,,,
01/31/1943,,,,,,,,,,,,,,,,,,,,,,,,10.6398758412%,,,,,
02/28/1943,,,,,,,,,,,,,,,,,,,,,,,,8.655956188%,,,,,
03/31/1943,,,,,,,,,,,,,,,,,,,,,,,,6.00996219388%,,,,,
04/30/1943,,,,,,,,,,,,,,,,,,,,,,,,4.33156320587%,,,,,
05/31/1943,,,,,,,,,,,,,,,,,,,,,,,,1.8225593076%,,,,,
06/30/1943,,,,,,,,,,,,,,,,,,,,,,,,-0.537813110693%,,,,,
07/31/1943,,,,,,,,,,,,,,,,,,,,,,,,-0.697438293883%,,,,,
08/31/1943,,,,,,,,,,,,,,,,,,,,,,,,-0.0963101056107%,,,,,
09/30/1943,,,,,,,,,,,,,,,,,,,,,,,,1.48943987043%,,,,,
10/31/1943,,,,,,,,,,,,,,,,,,,,,,,,0.986131010288%,,,,,
11/30/1943,,,,,,,,,,,,,,,,,,,,,,,,-4.07176044446%,,,,,
12/31/1943,,,,,,,,,,,,,,,,,,,,,,,,2.0524909678%,,,,,
01/31/1944,,,,,,,,,,,,,,,,,,,,,,,,3.18738326114%,,,,,
02/29/1944,,,,,,,,,,,,,,,,,,,,,,,,1.87908438219%,,,,,
