Market,Test_RMSE_Base,Test_RMSE_FF,Improvement,Val_RMSE_FF
FIAT,0.32714566588401794,0.3716185688972473,-0.04447290301322937,0.2791895866394043
EQUITY,0.25552481412887573,0.26666203141212463,-0.011137217283248901,0.21458885073661804
GOLD,0.27393293380737305,0.31459206342697144,-0.04065912961959839,0.2526717782020569
ENERGY,0.28608354926109314,0.2902032732963562,-0.0041197240352630615,0.12792618572711945
FIAT+EQUITY,0.29211458563804626,0.2882457673549652,0.0038688182830810547,0.12199351191520691
FIAT+GOLD,0.26127374172210693,0.2533726990222931,0.007901042699813843,0.22545887529850006
FIAT+EQUITY+GOLD+ENERGY,0.2553146779537201,0.3833150863647461,-0.128000408411026,0.2889426350593567
