path,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49,t50,t51,t52,t53,t54,t55,t56,t57,t58,t59,t60,t61,t62,t63,t64,t65,t66,t67,t68,t69,t70,t71,t72,t73,t74,t75,t76,t77,t78,t79,t80,t81,t82,t83,t84,t85,t86,t87,t88,t89,t90,t91,t92,t93,t94,t95,t96,t97,t98,t99,t100
path_699,0,0.0298322,-0.000463063,0.0276453,0.0285128,0.045059,0.0459499,-0.10187,-0.0949973,-0.150537,-0.138428,-0.124459,-0.116771,-0.101338,-0.130853,-0.174006,-0.150579,-0.126711,-0.214274,-0.195604,-0.228358,-0.213186,-0.198788,-0.269233,-0.290405,-0.279491,-0.278169,-0.287832,-0.286009,-0.279567,-0.29511,-0.308702,-0.306063,-0.303009,-0.305194,-0.301049,-0.30019,-0.298111,-0.296522,-0.293525,-0.28945,-0.289544,-0.290273,-0.288704,-0.292525,-0.308674,-0.307939,-0.306186,-0.311076,-0.310625,-0.310404,-0.309675,-0.309511,-0.308348,-0.308297,-0.313954,-0.313793,-0.313574,-0.312148,-0.311393,-0.313426,-0.313315,-0.311867,-0.310356,-0.309006,-0.308138,-0.311133,-0.311256,-0.310852,-0.312115,-0.312157,-0.312141,-0.312128,-0.312117,-0.312127,-0.312133,-0.312181,-0.312207,-0.312232,-0.31226,-0.312291,-0.312321,-0.312351,-0.312383,-0.312412,-0.312442,-0.312473,-0.312505,-0.312536,-0.312567,-0.312599,-0.31263,-0.312661,-0.312693,-0.312724,-0.312755,-0.312786,-0.312818,-0.312849,-0.31288,-0.312912
path_700,0,-0.0700668,-0.0644179,-0.0457227,-0.0360355,-0.0464501,-0.0251411,-0.0764136,-0.109624,-0.111821,-0.154528,-0.232055,-0.252572,-0.37882,-0.36361,-0.354763,-0.324702,-0.369814,-0.336166,-0.315813,-0.280853,-0.292723,-0.259987,-0.231208,-0.21485,-0.191684,-0.158819,-0.126997,-0.141078,-0.207373,-0.179131,-0.150702,-0.17435,-0.1896,-0.226088,-0.19984,-0.316847,-0.313328,-0.365118,-0.372732,-0.347799,-0.426019,-0.500938,-0.478896,-0.451124,-0.434859,-0.451177,-0.426501,-0.526795,-0.576581,-0.547063,-0.538904,-0.561437,-0.533911,-0.554975,-0.521674,-0.563976,-0.564496,-0.549303,-0.522651,-0.559229,-0.539053,-0.523489,-0.525629,-0.49982,-0.505074,-0.486017,-0.467699,-0.445952,-0.485466,-0.455672,-0.433174,-0.411471,-0.419363,-0.404339,-0.404296,-0.398508,-0.391371,-0.38527,-0.38191,-0.420492,-0.420058,-0.419369,-0.418202,-0.417064,-0.417117,-0.416559,-0.414593,-0.437957,-0.427107,-0.423877,-0.41744,-0.430239,-0.428109,-0.424327,-0.417448,-0.423856,-0.423501,-0.423303,-0.423352,-0.423394
path_701,0,0.0211369,0.0343669,0.0631816,0.0909167,0.0681263,0.0847544,0.11383,0.0961462,0.109972,0.0099274,0.00136213,0.0126475,-0.00166326,0.0177233,-0.0333892,-0.0058869,0.0204895,0.0481974,0.033788,-0.0231511,-0.00479814,-0.128364,-0.108043,-0.0859067,-0.0890151,-0.0577511,-0.0499993,-0.0596307,-0.0526772,-0.0287755,-0.163216,-0.158064,-0.128962,-0.126488,-0.175009,-0.155222,-0.158737,-0.134783,-0.140275,-0.118159,-0.0974113,-0.0743415,-0.0453788,-0.0167162,0.0114936,0.0116613,0.0445343,0.0760266,0.0513744,0.0261218,0.0452547,0.0738329,0.108677,0.142972,0.162901,0.103887,0.12576,0.0420168,0.0111651,-0.0172997,-0.0343651,-0.0211467,-0.0808021,-0.0847768,-0.06602,-0.0403143,-0.118243,-0.106005,-0.105283,-0.0948689,-0.0845683,-0.0770379,-0.0984476,-0.0954893,-0.0909833,-0.0962835,-0.0975984,-0.0968797,-0.0961643,-0.0957948,-0.0960882,-0.0959584,-0.0959363,-0.0959043,-0.0959334,-0.0959545,-0.0959502,-0.09596,-0.0959712,-0.0959807,-0.0959903,-0.0959999,-0.0960095,-0.0960191,-0.0960287,-0.0960383,-0.0960479,-0.0960575,-0.0960671,-0.0960767
path_702,0,0.0134235,0.0380381,0.0678964,0.0705646,0.0969878,0.113501,0.0594448,-0.0539655,-0.0336372,-0.086916,-0.1023,-0.0767188,-0.0726481,-0.072384,-0.055507,-0.0495957,-0.0371642,-0.0558571,-0.0393412,-0.0354791,-0.0282548,-0.00753604,0.0204758,0.0373494,0.053984,0.0508169,0.0359236,0.0530644,0.0658583,0.0898186,0.00957862,0.042484,0.0647994,0.0986827,0.0674536,-0.00209575,0.0109422,0.0197512,-0.00594747,0.0291194,0.0409923,0.0802318,0.0646662,0.101308,0.143179,0.0479354,0.0904657,0.129424,0.153928,0.135367,0.145837,0.173782,0.12657,0.0427885,0.0711768,0.109053,0.155397,0.201493,0.2268,0.274049,0.312734,0.356566,0.386262,0.409472,0.42422,0.465455,0.495633,0.510684,0.545821,0.584765,0.575138,0.61231,0.496044,0.513533,0.542982,0.581653,0.599522,0.590908,0.614733,0.641617,0.664843,0.688281,0.67043,0.709289,0.720976,0.750604,0.766498,0.802246,0.709199,0.71686,0.698948,0.713546,0.705771,0.713455,0.707342,0.708039,0.708251,0.708297,0.708368,0.708439
path_703,0,0.0118513,0.0410287,0.0502527,0.0684427,0.0959113,0.120157,0.137578,0.16083,0.186424,0.215276,0.131964,0.000844693,0.0156355,-0.13491,-0.107784,-0.11982,-0.0902075,-0.0608712,-0.048837,-0.0313793,-0.0275482,-0.00511213,-0.0735926,-0.0584421,-0.0376422,-0.197263,-0.167656,-0.144092,-0.225461,-0.387224,-0.394094,-0.469603,-0.4937,-0.476772,-0.446042,-0.467143,-0.455321,-0.422547,-0.417586,-0.456837,-0.432582,-0.398749,-0.364658,-0.379936,-0.381429,-0.431834,-0.524605,-0.534024,-0.53211,-0.510364,-0.49724,-0.483663,-0.475429,-0.48644,-0.470692,-0.460985,-0.497591,-0.485431,-0.473226,-0.462644,-0.452545,-0.442066,-0.435776,-0.423007,-0.415683,-0.405267,-0.413514,-0.406234,-0.388391,-0.370952,-0.366305,-0.352125,-0.36647,-0.358811,-0.348719,-0.347669,-0.342254,-0.338781,-0.344153,-0.326077,-0.309921,-0.311115,-0.309491,-0.305282,-0.299224,-0.286951,-0.297064,-0.305689,-0.30957,-0.309536,-0.309519,-0.309559,-0.309585,-0.309613,-0.309645,-0.309676,-0.309707,-0.309738,-0.309769,-0.3098
path_704,0,0.00345356,0.0252182,0.0518895,0.0830823,0.0856214,0.109711,0.1354,0.0795827,0.0682414,0.0832742,0.104896,0.13584,0.147032,0.17051,0.186835,0.220598,0.248003,0.282452,0.301223,0.323688,0.355948,0.297121,0.297886,0.327439,0.359483,0.386215,0.409369,0.385036,0.333711,0.335056,0.344358,0.367223,0.395021,0.294968,0.293649,0.323258,0.29127,0.310582,0.335856,0.325338,0.326889,0.361319,0.269522,0.284734,0.308522,0.14292,0.179096,0.208638,0.240327,0.275221,0.315612,0.329759,0.367168,0.380683,0.422754,0.441699,0.474687,0.489013,0.500562,0.539521,0.418229,0.457343,0.492845,0.496377,0.53922,0.579683,0.624826,0.671741,0.711814,0.598849,0.633517,0.665993,0.691877,0.720655,0.751972,0.780552,0.796141,0.781037,0.816994,0.697071,0.729069,0.72796,0.798122,0.872258,0.781036,0.798511,0.817266,0.86666,0.953035,1.04696,1.14783,1.21852,1.20512,1.31414,1.39433,1.45931,1.59391,1.73489,1.96965,2.22614
path_705,0,-0.0145734,0.00943313,0.0211654,0.0045981,-0.077821,-0.222043,-0.280466,-0.296256,-0.26543,-0.233094,-0.277215,-0.257254,-0.262588,-0.258857,-0.358011,-0.347782,-0.316937,-0.291561,-0.343531,-0.314389,-0.382285,-0.3485,-0.485431,-0.520826,-0.50274,-0.481575,-0.449071,-0.427448,-0.394726,-0.399093,-0.37383,-0.349467,-0.33225,-0.307232,-0.303082,-0.271594,-0.232591,-0.221443,-0.22091,-0.214003,-0.19424,-0.317262,-0.292796,-0.257876,-0.260269,-0.261901,-0.289683,-0.264107,-0.221963,-0.187611,-0.145177,-0.127514,-0.104974,-0.0630617,-0.0248125,-0.0200565,0.0238294,0.0625005,0.0731218,0.109554,-0.039776,-0.000773697,-0.00570699,0.037585,0.035859,-0.203644,-0.20185,-0.204878,-0.197497,-0.355242,-0.333436,-0.303492,-0.395571,-0.40442,-0.43087,-0.430074,-0.431992,-0.432913,-0.432427,-0.432345,-0.432001,-0.432842,-0.433015,-0.433125,-0.433246,-0.43329,-0.433333,-0.433376,-0.433418,-0.433462,-0.433504,-0.433548,-0.433592,-0.433635,-0.433678,-0.433722,-0.433765,-0.433808,-0.433852,-0.433895
path_706,0,0.0180995,0.0440244,0.0734199,0.0941573,0.118021,0.14256,0.162786,0.189048,0.203078,0.128291,-0.0746772,-0.0633662,-0.0315488,-0.0115018,-0.0173077,0.00270676,0.0326184,-0.0665837,-0.0423525,-0.0810531,-0.0493741,-0.137648,-0.115212,-0.100695,-0.0709598,-0.0382598,-0.0590763,-0.0280948,-0.103129,-0.0851796,-0.0592002,-0.0358737,0.000654165,-0.00866584,0.0258062,-0.0123153,-0.00888156,0.0280055,-0.00164557,-0.0640465,-0.0452253,-0.0138797,-0.00482598,-0.037205,-0.0242787,-0.0151813,0.0118038,0.013371,0.03365,0.0665525,0.0997495,0.125321,0.087743,0.107464,0.145786,0.189518,0.203529,0.0723328,0.0854439,0.129016,0.171832,0.127921,0.176353,0.138494,0.136753,0.176172,0.218071,0.271941,0.22707,0.166839,0.14511,0.187443,0.244734,0.247957,0.306424,0.31794,0.317697,0.279757,0.300004,0.360623,0.355684,0.359671,0.389148,0.457207,0.513753,0.581262,0.632281,0.714749,0.75887,0.776117,0.838037,0.705124,0.768639,0.818047,0.824234,0.89558,0.971023,1.0364,1.18323,1.24067
path_707,0,0.0298693,0.0336746,0.0609118,0.0763568,0.0908544,0.115821,0.142498,0.148456,0.139264,0.166765,0.0589078,0.0799735,0.104026,0.104563,0.123447,0.144741,0.166407,0.182805,0.184148,0.17311,0.1974,0.224207,0.232734,0.234891,0.257487,0.260741,0.281116,0.217692,0.222481,0.236257,0.20216,0.215743,0.22667,0.230042,0.242394,0.21331,0.215733,0.225912,0.233254,0.241058,0.246998,0.208997,0.207526,0.205167,0.201383,0.202874,0.20293,0.202895,0.20568,0.206801,0.207297,0.203672,0.203998,0.204636,0.205428,0.205712,0.203715,0.203889,0.204057,0.204154,0.204149,0.203903,0.203615,0.2034,0.203898,0.204221,0.205255,0.205531,0.204869,0.204011,0.204561,0.205119,0.205401,0.205235,0.201286,0.201513,0.201757,0.202025,0.202136,0.202293,0.202271,0.202219,0.202249,0.202289,0.202334,0.202365,0.202438,0.202453,0.202476,0.202495,0.202515,0.202536,0.202556,0.202576,0.202596,0.202617,0.202637,0.202657,0.202677,0.202698
path_708,0,-0.00419419,0.00736855,0.0167959,0.0353185,0.047922,0.0614094,-0.0472917,-0.021626,0.0104955,0.00982035,0.0414907,0.0433603,0.0712459,0.0768842,0.0948114,0.106884,0.0879259,0.104959,0.0809555,0.0997541,0.126039,0.147824,0.172251,0.178767,0.178909,0.204578,0.186456,0.207733,0.224052,0.208832,0.146157,0.17779,0.184037,0.203056,0.231735,0.226673,0.222381,0.2376,0.235884,0.213519,0.128605,0.134511,0.148793,0.138559,0.14815,0.15989,0.165223,0.181489,0.189755,0.185598,0.19789,0.156328,0.170413,0.0191665,0.0429988,0.0702907,0.0649144,0.0952294,0.124033,0.143853,0.164569,0.194456,0.20014,0.202106,0.188392,0.157774,0.187776,0.224006,0.266884,0.26106,0.307155,0.293843,0.307901,0.24986,0.177158,0.160624,0.209051,0.256662,0.21523,0.240293,0.271218,0.275327,0.319763,0.340703,0.106138,0.135035,0.162171,0.184891,0.201653,0.180691,0.228853,0.251039,0.30167,0.301275,0.32372,0.337335,0.340679,0.374175,0.393689,0.390416
