path,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49,t50,t51,t52,t53,t54,t55,t56,t57,t58,t59,t60,t61,t62,t63,t64,t65,t66,t67,t68,t69,t70,t71,t72,t73,t74,t75,t76,t77,t78,t79,t80,t81,t82,t83,t84,t85,t86,t87,t88,t89,t90,t91,t92,t93,t94,t95,t96,t97,t98,t99,t100
path_903,4.39168,4.51107,4.42484,5.21537,5.08495,6.2773,7.87642,7.93614,8.60864,8.5942,8.66937,7.10488,8.26571,8.65383,8.78813,8.2229,8.91793,9.09848,11.1633,10.6967,10.5733,11.9637,13.87,13.9101,13.0742,14.7731,15.5346,16.0847,17.7272,19.1833,20.0382,18.7417,20.3643,18.159,16.2012,16.622,17.6998,14.8423,18.1081,16.2306,17.3527,16.7708,17.894,17.6946,17.6681,19.1059,18.178,18.0973,16.4315,15.0184,15.4883,13.2254,12.6774,14.8062,15.7397,14.6519,11.9955,9.29221,7.77069,5.6301,5.19612,5.36609,3.30697,3.52565,3.6222,5.13144,5.80086,7.76989,5.36884,5.21426,5.91051,7.98021,5.86531,5.78835,6.67524,6.01632,7.60799,6.63887,6.39747,5.39282,4.80676,2.72868,3.84578,2.73878,2.51679,3.10934,3.03925,3.9656,3.20645,4.01979,3.3984,5.09429,8.21269,9.53764,11.7239,12.8182,14.0203,12.4291,11.1955,11.9968,9.66705
path_904,4.39168,4.61869,3.82417,3.9573,4.86975,5.14763,5.07692,4.65849,5.48581,4.24761,3.98908,3.58275,3.88728,3.04198,4.06957,4.1448,4.00042,4.34271,4.80898,5.96649,8.01857,8.83505,8.04161,7.24104,7.7742,7.71412,8.77861,7.31608,7.04099,8.01398,6.62157,7.82132,7.57998,7.11148,6.79377,7.65046,9.5342,10.1344,9.03433,9.25071,8.82925,9.65374,8.41775,7.81721,8.48259,8.5241,8.72287,8.03816,8.32135,9.76304,9.64226,8.94957,9.1285,9.2888,9.9992,11.7959,12.0256,13.4189,13.2995,14.7117,16.9924,17.2719,19.2313,20.5982,19.1802,17.605,18.1593,16.5848,20.2016,21.7117,21.4607,19.3724,18.964,19.3455,18.7456,17.2352,16.1622,15.9951,17.4975,19.9568,21.1289,21.448,21.8479,21.3512,24.5863,26.1632,26.2833,25.6398,29.7195,28.8393,32.4371,31.8375,29.8599,31.1299,31.8266,35.048,34.6436,37.2951,36.4611,37.8362,36.026
path_905,4.39168,4.02029,4.11982,3.82531,3.03017,2.76832,3.26163,2.60112,2.50529,2.32866,1.74059,1.29591,1.26964,1.19008,1.58302,1.46268,0.928652,0.90317,1.06919,1.37429,1.67872,1.35912,0.863662,1.17238,1.32503,1.80162,2.25927,1.93386,1.91541,1.68711,2.11434,3.07291,2.29303,3.06289,2.74238,2.693,2.0663,3.28759,3.40894,2.23761,2.72734,3.97486,5.89474,4.84355,4.23961,4.51041,5.50492,7.16886,7.66739,8.4924,5.35267,5.54104,4.26199,2.69558,3.33427,3.79657,4.44051,5.21746,4.81586,7.24598,8.40595,7.12151,5.23776,4.46246,4.0402,3.29001,2.32045,2.63193,2.20641,1.3072,1.27065,1.10908,1.28197,1.73966,1.00067,0.569559,0.199842,0.282059,0.283332,0.0749163,0.061379,0.0344819,0.0648339,0.0419065,0.0339798,0.0150459,0.00561271,0.0010031,0.000591365,9.51481e-05,4.39997e-05,2.2535e-05,2.72547e-05,5.7832e-05,4.82882e-05,7.70911e-05,2.79457e-06,8.62679e-08,1.19984e-12,0,0
path_906,4.39168,4.71807,4.51392,5.27974,6.14245,7.13171,8.04981,9.001,9.22716,10.1821,10.6555,11.3468,11.7636,11.3318,9.25717,10.2377,10.6419,13.6339,14.6936,12.4896,13.5721,12.7491,9.60101,9.83574,9.02023,8.32529,8.25394,8.12595,7.27056,7.20964,6.02459,6.38025,7.32452,7.28257,8.87461,9.48705,9.27538,10.84,10.6776,11.0018,12.2313,12.9832,13.4651,13.0539,12.1963,12.5418,12.5656,12.462,13.2446,12.8518,13.9479,15.8052,15.6268,14.2013,15.9895,13.5969,12.9896,11.6542,10.6396,11.0398,7.78068,6.1583,6.62611,5.50189,4.38352,4.38361,4.95282,4.3181,2.92447,2.16596,1.66968,1.54511,2.04167,1.50352,0.993596,1.58393,2.6773,2.44176,1.55704,0.903597,0.8841,0.682198,0.44683,0.47067,0.366102,0.492217,0.453387,0.30234,0.582105,0.606482,0.283486,0.0870184,0.462185,0.387103,0.883638,1.35403,1.57318,1.1197,0.834981,0.234496,0
path_907,4.39168,4.16915,3.38074,3.63256,3.99479,4.08458,3.21817,3.21875,2.79964,3.28245,2.85364,2.97975,3.71368,3.67047,3.7282,4.56306,4.30066,5.15657,5.94983,5.54553,5.40869,6.011,4.03947,3.35701,3.64169,2.61569,2.2,2.48722,3.17014,3.95084,4.44181,4.00997,3.46629,3.39537,4.81518,4.06977,4.60251,3.19721,3.14138,3.66888,3.35358,3.03593,3.38277,4.06963,3.27133,3.41873,3.7857,3.96762,4.11648,4.9111,4.16763,4.6176,3.71828,3.87626,3.83821,5.95304,8.16561,11.0532,13.6086,12.4552,13.0151,13.5754,14.4073,14.9645,14.0071,16.037,18.8747,17.1586,16.3909,14.6123,16.4486,19.8524,17.7018,16.3981,17.3098,18.5222,18.7324,19.4703,19.1993,20.3629,17.9731,17.6174,16.7629,13.1508,14.706,15.9024,14.6843,14.1551,14.3798,13.7239,13.3066,12.404,13.71,17.7657,15.2819,14.4483,14.462,12.9378,18.0429,17.0057,18.8456
path_908,4.39168,4.84653,3.44228,3.75277,3.39447,3.96787,4.0358,4.81079,5.27561,5.1577,5.07558,4.90333,4.2118,4.11148,3.83844,4.11191,5.44426,7.57222,6.08076,6.54417,5.99841,5.65267,6.86776,7.59226,7.36592,7.03576,8.93547,8.62319,8.85974,7.10879,6.49724,6.01837,4.60338,4.64889,6.32214,5.65956,4.54947,5.10335,6.29822,7.65593,7.72213,6.64219,5.55631,4.79253,5.65049,5.73112,5.37888,6.71842,6.36296,7.46659,9.13636,7.27171,8.60078,9.709,8.4051,8.03939,7.2362,8.79725,9.59234,6.69351,7.40962,8.04648,6.80443,8.58721,10.0188,11.6814,9.64364,8.13698,7.65777,7.73931,8.74497,6.71113,6.90906,5.41017,5.50007,6.13134,6.98746,7.80949,6.47161,6.14916,7.87974,8.77072,10.003,9.22079,9.60936,8.31184,5.3781,4.52205,3.87354,4.75926,6.97182,7.00452,7.79419,5.71782,6.14283,7.40792,5.97614,5.61502,5.5655,6.67082,6.17056
path_909,4.39168,4.57684,5.41271,4.6421,5.25036,5.73252,5.95466,6.18695,5.58636,4.6947,4.86932,3.91482,3.79377,3.59553,2.95207,3.38879,3.31909,3.82488,3.69671,3.31633,3.34737,3.15866,2.77457,2.50631,2.44378,2.3485,2.12828,1.81433,1.77808,1.61171,1.29256,1.44533,1.08237,0.777053,1.00756,0.828859,0.760284,0.67478,0.670479,0.749901,0.976154,0.897616,0.77941,0.766491,0.50331,0.377674,0.446003,0.584342,0.380312,0.383003,0.39449,0.257664,0.262083,0.446955,0.396832,0.313617,0.219099,0.307786,0.407079,0.397443,0.249732,0.230672,0.354585,0.333184,0.283252,0.270311,0.42374,0.450811,0.25062,0.168557,0.283022,0.233191,0.127061,0.0743542,0.0913167,0.0914169,0.0760768,0.0165767,0.0224479,0.0177321,0.013353,0.0219462,0.00910055,0.00859272,0.0216393,0.00763658,0.00562061,0.00992987,0.00453711,0.00302549,0.00384624,0.0106243,0.00297161,0.000537722,8.44294e-05,2.43708e-05,9.96528e-08,7.14726e-12,1.40502e-13,0,0
path_910,4.39168,3.71918,3.97789,3.89252,3.26931,2.41499,2.26559,1.62774,1.38475,1.40712,1.47563,1.90003,1.81085,2.06312,2.22244,1.99057,1.37904,1.0856,0.730239,0.379408,0.219403,0.272166,0.432792,0.362202,0.309397,0.274797,0.161804,0.2396,0.225192,0.326403,0.609021,0.77226,0.951459,0.986346,0.844707,0.974093,1.14935,1.23559,1.5188,1.41323,1.23101,0.946,1.21537,1.63134,1.82729,1.50486,1.67194,1.50501,1.39492,0.741586,1.13806,1.14251,1.75181,1.3345,1.39876,1.25524,2.04239,2.12426,2.04771,1.80389,2.04826,1.79497,2.12209,2.55885,1.7317,1.66438,1.52342,1.48471,1.30223,1.63135,1.79189,1.3356,2.32721,2.20281,1.4709,1.45103,1.8262,2.04394,2.75789,1.68127,1.34795,0.934849,1.27533,2.3905,3.16453,3.59855,3.78888,4.59833,5.25579,6.76916,6.22693,7.13678,5.95009,7.02704,5.05293,4.21839,1.93755,1.73761,1.96335,2.35219,3.70872
path_911,4.39168,4.35255,4.09321,3.32552,3.83307,2.59518,3.28263,3.40832,4.32499,4.06652,4.5839,4.58277,4.62109,4.34691,6.11793,4.53489,5.20136,7.11546,5.91424,7.12517,7.46729,6.29952,5.6684,5.54594,4.90086,4.69481,3.58496,3.11293,2.22556,2.21803,1.83202,2.20286,2.90512,2.7518,3.15085,2.71123,2.7939,3.1574,3.65709,3.38609,2.39011,2.25496,1.69575,2.96397,2.36038,2.77553,3.16904,2.94398,2.59762,3.00349,4.2395,4.26922,6.13594,7.85219,7.39451,7.40084,10.2946,13.8472,13.3417,11.5792,12.8199,9.48349,8.32814,11.0088,7.55253,10.3781,10.6176,10.562,10.576,11.0491,12.1772,13.453,12.9472,14.8513,15.5024,14.9336,17.2593,17.0175,19.1884,18.6699,19.4633,20.1011,16.8954,17.1996,15.9003,12.0176,12.8039,13.7546,18.0321,18.1006,18.7976,17.6285,18.6414,19.1887,21.4297,20.4923,20.2119,22.041,19.61,20.0285,20.308
path_912,4.39168,4.12425,3.49561,4.01641,4.78296,4.58398,4.25981,3.91435,4.68672,4.29018,5.26145,5.97437,5.55587,6.12134,7.8705,7.91516,8.15402,8.09564,9.67014,8.75885,8.40914,7.46473,7.91698,8.16129,8.02028,6.20426,5.64672,5.2815,5.45914,5.14127,5.868,5.09466,5.44653,4.72602,5.19074,5.26376,5.56409,7.69778,5.91771,6.2872,8.962,12.4341,12.7802,13.6336,14.2578,14.2414,11.2386,9.46735,11.2276,10.6957,10.3482,11.7291,9.92571,11.0473,12.0062,12.0032,14.2725,13.5928,14.175,12.5619,13.531,16.0995,17.611,17.808,19.6366,22.1501,19.9262,21.1372,19.9104,18.7055,20.8634,19.9898,21.554,24.7281,20.475,20.6855,24.3315,24.2378,22.8253,21.6517,21.5904,21.0979,23.719,20.9919,21.8125,22.6557,20.4697,18.964,20.039,18.5471,17.167,15.1068,16.5977,16.8176,17.4405,17.1431,14.4254,9.79244,11.177,9.97415,11.0315
