This file was created using the 202509 CRSP database.  It
contains a reversal factor, constructed from six value-weight portfolios formed
using independent sorts on size and prior return of NYSE, AMEX, and NASDAQ stocks.
ST_Rev is the average of the returns on two (big and small) low prior return portfolios
minus the average of the returns on two high prior return portfolios.  The portfolios
are constructed monthly.  Big means a firm is above the median market cap on the NYSE
at the end of the previous month; small firms are below the median NYSE market cap.
Prior return is measured as the most recent month's return.  Firms in the low prior return
portfolio are below the 30th NYSE percentile.  Those in the high portfolio are above
the 70th NYSE percentile.

Missing data are indicated by -99.99 or -999.

,ST_Rev
202109,   0.76
202110,  -1.61
202111,  -2.66
202112,  -0.24
202201,  -4.86
202202,  -3.18
202203,   0.00
202204,  -1.85
202205,  -2.07
202206,   1.90
202207,   6.42
202208,   1.69
202209,  -1.67
202210,   0.43
202211,   0.47
202212,  -3.40
202301,   9.41
202302,  -1.41
202303,  -1.67
202304,  -0.80
202305,   4.06
202306,   0.91
202307,  -1.83
202308,   2.35
202309,  -2.67
202310,  -2.49
202311,   3.50
202312,  -4.08
202401,   2.19
202402,  -1.63
202403,   0.14
202404,  -3.80
202405,  -1.47
202406,  -1.92
202407,   3.53
202408,   0.14
202409,   0.60
202410,  -1.49
202411,  -4.84
202412,   0.36
202501,   2.80
202502,   3.26
202503,  -3.60
202504,   2.31
202505,  -4.97
202506,  -5.56
202507,  -5.23
202508,   1.12
202509,  -2.36

Annual Factors:
January-December 
,ST_Rev
  1927, -18.73
  1928,  -8.82
  1929, -14.99
  1930,  -1.18
  1931,  27.20
  1932,  27.90
  1933,  74.69
  1934,  14.98
  1935,   7.10
  1936,   4.81
  1937,  -7.08
  1938,  88.47
  1939,  65.29
  1940,  19.16
  1941,   1.57
  1942,  24.83
  1943,  20.94
  1944,  14.32
  1945,  27.88
  1946,  -0.87
  1947,   5.66
  1948,  21.49
  1949,  11.45
  1950,  12.49
  1951,  19.14
  1952,  12.24
  1953,   2.04
  1954,  18.25
  1955,  14.72
  1956,   1.89
  1957,  -4.54
  1958,  33.25
  1959,   3.76
  1960,  -3.03
  1961,  13.53
  1962,   9.76
  1963,  12.54
  1964,   6.89
  1965,   4.97
  1966,  12.08
  1967,   8.90
  1968,  13.60
  1969,   4.24
  1970,   7.58
  1971,  14.25
  1972,   4.28
  1973,   1.46
  1974,  16.04
  1975,  45.32
  1976,  15.68
  1977,   7.51
  1978,  16.98
  1979,   9.84
  1980,   5.64
  1981,   2.35
  1982,   1.05
  1983,  21.14
  1984,  13.10
  1985,   6.98
  1986,   2.47
  1987,   5.17
  1988,  17.97
  1989,  -4.29
  1990, -11.51
  1991,   4.53
  1992,  -2.38
  1993,   0.02
  1994,   2.37
  1995,   4.75
  1996,   3.03
  1997,  12.57
  1998,  15.88
  1999, -14.93
  2000, -16.26
  2001,  38.68
  2002,  14.58
  2003,  12.17
  2004,   6.69
  2005,  -1.36
  2006,   5.98
  2007, -16.43
  2008,  -5.67
  2009,   0.10
  2010,   9.55
  2011,  -7.88
  2012,   6.49
  2013,  -1.73
  2014,  -2.42
  2015,   1.31
  2016,   5.87
  2017,   4.05
  2018,   3.52
  2019,  19.34
  2020, -12.76
  2021,   4.89
  2022,  -5.82
  2023,   5.49
  2024,  -9.21

Copyright 2025 Eugene F. Fama and Kenneth R. French
